,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
435,,0.5,0.052,,1110.0,5.7170000000000005,34.9773,150.1,28.42,0.01,22.64,1.9
436,,0.58,,,1270.0,5.2749,35.0176,172.7,25.95,0.01,22.15,1.75
437,,0.58,,,1270.0,5.2749,35.0176,172.7,25.98,0.0,22.25,1.75
438,,0.68,0.053,0.045,1515.0,4.4319999999999995,35.0005,199.6,23.76,0.0,23.13,1.62
439,,0.68,0.053,0.045,1515.0,4.4319999999999995,35.0005,199.6,23.82,0.0,23.22,1.62
440,,0.79,,0.038,1769.0,3.9301,34.9879,218.0,22.28,0.01,24.01,1.52
441,,0.79,,0.038,1769.0,3.9301,34.9879,218.0,22.35,0.0,23.91,1.52
456,,0.54,0.0,,30.0,19.40015,35.0914,223.8,0.69,0.1,0.68,0.06
457,,0.54,0.0,,30.0,19.40015,35.0914,223.8,0.58,0.1,0.88,0.07
458,,0.78,0.131,,136.0,14.04715,35.80035,145.8,16.03,0.0,6.54,1.01
459,,0.78,0.131,,136.0,14.04715,35.80035,145.8,15.99,0.0,6.54,1.0
460,,0.95,0.084,,605.0,5.4183,35.022,229.7,19.15,0.0,12.12,2.14
461,,0.95,0.084,,605.0,5.4183,35.022,229.7,19.12,0.0,12.02,1.72
462,,0.66,,0.051,1821.0,3.7905,34.9485,266.1,17.37,0.0,12.9,1.12
463,,0.66,,0.051,1821.0,3.7905,34.9485,266.1,17.37,0.0,12.61,1.12
466,,0.99,0.023,0.0,35.0,19.88165,35.22595,222.75,0.26,0.06,0.98,0.04
467,,0.99,0.023,0.0,35.0,19.88165,35.22595,222.75,0.32,0.06,0.98,0.03
468,,1.19,0.058,0.0,70.0,17.559,35.8459,165.3,11.14,0.02,4.19,0.61
469,,1.19,0.058,0.0,70.0,17.559,35.8459,165.3,10.9,0.02,4.19,0.61
470,,1.06,0.0,0.0,974.0,4.2385,34.9691,259.9,17.61,0.0,11.32,1.16
471,,1.06,0.0,0.0,974.0,4.2385,34.9691,259.9,17.6,0.0,11.32,1.17
472,,0.96,0.163,0.319,1821.0,3.4672,34.9449,267.1,17.49,0.0,14.15,1.19
473,,0.96,0.163,0.319,1821.0,3.4672,34.9449,267.1,17.54,0.0,14.15,1.18
476,,1.34,0.009,0.092,28.0,25.21765,36.07635,203.05,0.0,0.0,0.68,0.02
477,,1.34,0.009,0.092,28.0,25.21765,36.07635,203.05,0.0,0.0,0.59,0.02
478,,1.03,0.081,0.085,541.0,9.4864,35.1807,129.45,24.97,0.0,13.76,1.59
479,,1.03,0.081,0.085,541.0,9.4864,35.1807,129.45,24.93,0.0,13.85,1.58
480,,0.93,0.227,0.236,1515.0,3.9218,34.9612,262.8,17.52,0.0,12.2,1.17
481,,0.93,0.227,0.236,1515.0,3.9218,34.9612,262.8,17.55,0.0,12.2,1.17
486,,0.9,0.036,0.002,90.0,23.2796,35.8104,207.7333333,0.0,0.02,0.78,0.0
487,,0.9,0.036,0.002,90.0,23.2796,35.8104,207.7333333,0.01,0.02,0.68,0.0
488,,0.97,0.213,0.071,756.0,5.9371,35.0669,215.65,20.05,0.0,12.49,1.32
489,,0.97,0.213,0.071,756.0,5.9371,35.0669,215.65,20.04,0.0,12.49,1.33
490,,0.89,0.0,0.036,1096.0,4.71695,35.016,250.15,17.92,0.0,11.22,1.2
491,,0.89,0.0,0.036,1096.0,4.71695,35.016,250.15,17.88,0.0,11.22,1.2
492,,1.0,,0.05,1618.0,3.8785,34.9672,262.7,17.54,0.0,12.39,1.18
493,,1.0,,0.05,1618.0,3.8785,34.9672,262.7,17.47,0.0,12.49,1.18
498,,1.33,0.008,,65.0,22.826,36.34125,208.95,0.0,0.0,0.29,0.0
499,,1.33,0.008,,65.0,22.826,36.34125,208.95,0.01,0.0,0.19,0.0
500,,0.84,0.024,,186.0,18.7066,36.6039,188.25,4.45,0.0,0.88,0.19
501,,0.84,0.024,,186.0,18.7066,36.6039,188.25,4.49,0.0,0.97,0.18
502,,0.75,0.093,,1516.0,4.2941,34.9784,256.6,17.76,0.0,11.81,1.17
503,,0.75,0.093,,1516.0,4.2941,34.9784,256.6,17.6,0.0,11.81,1.16
504,,0.86,0.172,,1821.0,3.9354,34.9651,262.2,17.56,0.0,12.98,1.18
505,,0.86,0.172,,1821.0,3.9354,34.9651,262.2,17.57,0.0,13.08,1.18
506,,0.66,,,40.0,24.026025,36.573925,209.7,0.0,0.0,0.29,0.03
507,,0.66,,,40.0,24.026025,36.573925,209.7,0.0,0.0,0.29,0.02
508,,0.71,,,84.0,23.00845,36.6566,211.75,0.0,0.0,0.1,0.02
509,,0.71,,,84.0,23.00845,36.6566,211.75,0.0,0.0,0.0,0.02
510,,0.71,,,84.0,23.00845,36.6566,211.75,-999.0,-999.0,-999.0,-999.0
511,,0.71,,,84.0,23.00845,36.6566,211.75,-999.0,-999.0,-999.0,-999.0
512,,0.67,,,136.0,19.130975,36.630575,201.525,0.78,0.02,0.39,0.0
513,,0.67,,,136.0,19.130975,36.630575,201.525,0.79,0.03,0.29,0.0
514,,1.21,,0.155,1821.0,3.80245,34.96555,262.8,17.63,0.0,12.88,1.19
515,,1.21,,0.155,1821.0,3.80245,34.96555,262.8,17.62,0.0,12.88,1.19
518,,1.67,,0.009,60.0,24.6379,36.6413,207.5,0.0,0.0,0.19,0.0
519,,1.67,,0.009,60.0,24.6379,36.6413,207.5,0.0,0.0,0.1,0.0
520,,0.73,,,288.0,18.1369,36.5703,203.4,3.79,0.0,0.68,0.16
521,,0.73,,,288.0,18.1369,36.5703,203.4,3.78,0.0,0.68,0.15
522,,,,,354.0,17.44886667,36.46053333,201.2333333,5.39,0.0,1.36,0.26
523,,,,,354.0,17.44886667,36.46053333,201.2333333,5.38,0.0,1.36,0.26
524,,1.06,0.034,0.0,424.0,16.86,36.3554,199.6,6.33,0.0,1.66,0.33
525,,1.06,0.034,0.0,424.0,16.86,36.3554,199.6,6.32,0.0,1.66,0.33
526,,0.56,,,101.0,20.4972,36.8096,219.7,0.0,0.05,0.29,0.0
527,,0.56,,,101.0,20.4972,36.8096,219.7,0.0,0.06,0.19,0.0
528,,0.55,,,136.0,19.5961,36.7332,201.2,0.88,0.0,0.29,0.0
529,,0.55,,,136.0,19.5961,36.7332,201.2,0.87,0.01,0.29,0.0
530,,0.66,,,186.0,18.5523,36.6041,195.3,3.26,0.0,0.78,0.1
531,,0.66,,,186.0,18.5523,36.6041,195.3,3.25,0.0,0.68,0.1
532,,0.64,0.043,,352.0,17.1665,36.4135,201.5,5.46,0.0,1.36,0.25
533,,0.64,0.043,,352.0,17.1665,36.4135,201.5,5.44,0.0,1.27,0.25
534,,1.14,,,857.0,8.8138,35.2298,152.1,23.83,0.0,13.95,1.52
535,,1.14,,,857.0,8.8138,35.2298,152.1,23.73,0.0,13.95,1.53
536,,1.11,,,1009.0,7.0404,35.1097,170.1,23.73,0.0,15.9,1.56
537,,1.11,,,1009.0,7.0404,35.1097,170.1,23.78,0.0,15.9,1.56
538,,0.58,0.0,,70.0,23.19285,37.00495,230.0,0.0,0.0,0.1,0.0
539,,0.58,0.0,,70.0,23.19285,37.00495,230.0,0.0,0.0,0.0,0.0
540,,0.56,,,186.0,18.67295,36.6336,190.55,3.03,0.0,0.58,0.1
541,,0.56,,,186.0,18.67295,36.6336,190.55,2.95,0.0,0.58,0.09
542,,0.54,0.155,,237.0,18.02405,36.55315,191.5,4.54,0.0,0.97,0.19
543,,0.54,0.155,,237.0,18.02405,36.55315,191.5,4.54,0.0,0.88,0.2
544,,0.65,0.028,,433.0,16.04955,36.20605,187.6,8.31,0.0,2.34,0.47
545,,0.65,0.028,,433.0,16.04955,36.20605,187.6,8.24,0.0,2.24,0.46
546,,0.62,0.156,0.005,50.0,25.2672,37.0772,205.2,0.0,0.0,0.29,0.0
547,,0.62,0.156,0.005,50.0,25.2672,37.0772,205.2,0.0,0.0,0.19,0.0
548,,0.62,0.176,0.0,137.0,20.3513,36.8289,215.3,0.33,0.01,0.1,0.0
549,,0.62,0.176,0.0,137.0,20.3513,36.8289,215.3,0.32,0.01,0.0,0.0
550,,0.71,0.23,,424.0,16.5467,36.295,191.4,7.42,0.0,1.75,0.38
551,,0.71,0.23,,424.0,16.5467,36.295,191.4,7.4,0.0,1.75,0.38
552,,0.87,0.003,0.045,56.0,25.14183333,37.3953,205.9,0.0,0.0,0.19,0.0
553,,0.87,0.003,0.045,56.0,25.14183333,37.3953,205.9,0.0,0.0,0.29,0.0
554,,0.63,0.001,0.152,92.0,22.6021,37.17386667,221.0333333,0.0,0.01,0.19,0.0
555,,0.63,0.001,0.152,92.0,22.6021,37.17386667,221.0333333,0.01,0.01,0.1,0.0
556,,0.58,0.007,0.167,109.0,21.7219,37.07426667,215.43333330000002,0.17,0.05,0.19,0.0
557,,0.58,0.007,0.167,109.0,21.7219,37.07426667,215.43333330000002,0.16,0.05,0.29,0.0
558,,0.84,0.008,0.119,237.0,18.02583333,36.56736667,189.6,5.07,0.0,1.07,0.22
559,,0.84,0.008,0.119,237.0,18.02583333,36.56736667,189.6,5.09,0.0,1.07,0.23
560,,0.86,0.008,0.224,287.0,17.3809,36.45276667,192.83333330000002,5.56,0.0,1.17,0.27
561,,0.86,0.008,0.224,287.0,17.3809,36.45276667,192.83333330000002,5.58,0.0,1.36,0.27
562,,0.86,0.004,0.335,340.0,16.74596667,36.3378,196.3666667,6.61,0.0,1.56,0.34
563,,0.86,0.004,0.335,340.0,16.74596667,36.3378,196.3666667,6.59,0.0,1.75,0.34
564,,1.18,0.052,0.155,974.0,6.89725,35.0258,151.85,26.24,0.0,17.95,1.74
565,,1.18,0.052,0.155,974.0,6.89725,35.0258,151.85,26.23,0.0,17.86,1.74
566,,1.12,0.084,,1516.0,4.99965,35.09235,231.4,18.96,0.0,14.05,1.29
567,,1.12,0.084,,1516.0,4.99965,35.09235,231.4,18.99,0.0,14.15,1.29
568,,1.17,0.103,,1668.0,4.66825,35.0924,236.6,18.87,0.0,15.71,1.29
569,,1.17,0.103,,1668.0,4.66825,35.0924,236.6,18.84,0.0,15.61,1.29
570,,,0.003,0.109,50.0,25.396,37.6314,204.2,0.0,0.0,0.19,0.0
571,,,0.003,0.109,50.0,25.396,37.6314,204.2,0.0,0.0,0.19,0.0
572,,,0.007,0.173,136.0,21.4584,37.1816,203.4,0.22,0.05,0.1,0.0
573,,,0.007,0.173,136.0,21.4584,37.1816,203.4,0.21,0.05,0.0,0.0
574,,0.6,0.013,0.186,186.0,19.5744,36.8543,173.4,3.85,0.0,0.58,0.16
575,,0.6,0.013,0.186,186.0,19.5744,36.8543,173.4,3.82,0.0,0.58,0.15
576,,0.75,0.028,,534.0,13.2617,35.791,177.0,13.78,0.0,4.49,0.81
577,,0.75,0.028,,534.0,13.2617,35.791,177.0,13.73,0.0,4.39,0.81
578,,0.71,0.003,0.063,40.0,25.21765,37.6324,205.45,0.0,0.0,0.29,0.01
579,,0.71,0.003,0.063,40.0,25.21765,37.6324,205.45,0.0,0.0,0.19,0.0
580,,1.16,0.024,,288.0,17.3065,36.4528,187.4,6.14,0.0,1.17,0.32
581,,1.16,0.024,,288.0,17.3065,36.4528,187.4,6.1,0.0,1.27,0.31
582,,1.2,0.012,0.292,424.0,14.87555,36.03465,176.8,11.55,0.0,3.12,0.67
583,,1.2,0.012,0.292,424.0,14.87555,36.03465,176.8,11.52,0.0,3.12,0.68
584,,0.92,0.102,0.134,975.0,7.1497,35.1402,161.4,24.71,0.0,16.69,1.61
585,,0.92,0.102,0.134,975.0,7.1497,35.1402,161.4,24.68,0.0,16.69,1.61
586,,0.98,0.089,0.126,1339.0,5.6949,35.1532,206.8,21.25,0.0,16.1,1.41
587,,0.98,0.089,0.126,1339.0,5.6949,35.1532,206.8,21.28,0.0,16.2,1.41
588,,0.96,0.036,0.195,1821.0,4.0644,35.0349,237.0,19.96,0.0,19.81,1.34
589,,0.96,0.036,0.195,1821.0,4.0644,35.0349,237.0,19.96,0.0,19.81,1.34
594,,0.64,0.004,,61.0,25.7312,37.4585,203.0,0.04,0.0,0.19,0.0
595,,0.64,0.004,,61.0,25.7312,37.4585,203.0,0.0,0.0,0.19,0.0
596,,0.46,0.004,,107.0,23.3165,37.397,209.4,0.0,0.08,0.1,0.0
597,,0.46,0.004,,107.0,23.3165,37.397,209.4,0.01,0.08,0.0,0.0
598,,0.44,0.004,0.061,137.0,22.2062,37.2795,194.9,0.62,0.01,0.19,0.11
599,,0.44,0.004,0.061,137.0,22.2062,37.2795,194.9,0.59,0.02,0.19,0.09
600,,0.57,0.01,0.096,188.0,19.9999,36.9241,176.6,3.74,0.0,0.68,0.23
601,,0.57,0.01,0.096,188.0,19.9999,36.9241,176.6,3.73,0.0,0.58,0.22
602,,0.65,0.002,0.013,240.0,18.4549,36.6549,173.2,6.32,0.0,1.17,0.39
603,,0.65,0.002,0.013,240.0,18.4549,36.6549,173.2,6.33,0.0,1.27,0.38
604,,0.68,0.005,0.142,287.0,17.4297,36.4752,177.0,8.2,0.0,1.85,0.5
605,,0.68,0.005,0.142,287.0,17.4297,36.4752,177.0,8.17,0.0,1.85,0.49
606,,0.74,0.012,0.409,355.0,16.1941,36.2489,169.3,11.54,0.0,2.93,0.7
607,,0.74,0.012,0.409,355.0,16.1941,36.2489,169.3,11.35,0.0,2.93,0.69
608,,0.77,0.006,0.364,425.0,14.9009,36.024,154.2,13.93,0.0,3.9,0.85
609,,0.77,0.006,0.364,425.0,14.9009,36.024,154.2,13.92,0.0,3.9,0.85
610,,0.97,0.062,0.212,535.0,13.3848,35.7991,152.5,16.72,0.0,5.46,1.02
611,,0.97,0.062,0.212,535.0,13.3848,35.7991,152.5,16.64,0.0,5.56,1.02
612,,1.1,0.061,,606.0,12.1389,35.6337,148.1,18.67,0.0,7.12,1.16
613,,1.1,0.061,,606.0,12.1389,35.6337,148.1,18.64,0.0,7.12,1.15
614,,1.04,0.015,0.216,860.0,8.1463,35.1877,149.4,25.09,0.0,15.61,1.64
615,,1.04,0.015,0.216,860.0,8.1463,35.1877,149.4,25.01,0.0,15.61,1.64
616,,0.96,0.035,,1011.0,6.6934,35.0634,159.9,25.86,0.0,18.44,1.73
617,,0.96,0.035,,1011.0,6.6934,35.0634,159.9,25.88,0.0,18.34,1.74
618,,1.11,0.092,0.131,706.0,9.7916,35.34905,135.0,23.8,0.0,11.8,1.48
619,,1.11,0.092,0.131,706.0,9.7916,35.34905,135.0,23.84,0.0,12.1,1.48
620,,1.12,0.089,0.141,817.0,8.1008,35.15605,135.85,26.38,0.0,16.0,1.69
621,,1.12,0.089,0.141,817.0,8.1008,35.15605,135.85,26.38,0.0,15.9,1.69
622,,1.0,0.072,0.135,934.3333332999998,7.021666667000001,35.05993333,145.5,27.21,0.0,18.64,1.79
623,,1.0,0.072,0.135,934.3333332999998,7.021666667000001,35.05993333,145.5,27.19,0.0,18.64,1.78
624,,0.87,0.034,0.029,1071.0,6.0934,35.0137,163.95,26.05,0.0,19.32,1.73
625,,0.87,0.034,0.029,1071.0,6.0934,35.0137,163.95,26.07,0.0,19.22,1.73
626,,,0.024,,1516.0,4.7121,35.04225,215.2,21.62,0.0,18.35,1.45
627,,,0.024,,1516.0,4.7121,35.04225,215.2,21.63,0.0,18.25,1.45
628,,0.84,,0.03,1770.0,4.2175,35.0323,226.5,20.9,0.0,20.2,1.41
629,,0.84,,0.03,1770.0,4.2175,35.0323,226.5,20.91,0.0,20.2,1.41
630,,0.5,0.019,0.078,101.0,23.2701,37.0688,205.4,0.67,0.1,0.19,0.07
631,,0.5,0.019,0.078,101.0,23.2701,37.0688,205.4,0.65,0.1,0.19,0.07
632,,0.92,0.007,0.406,288.0,15.2679,36.0806,144.5,13.72,0.0,3.51,0.8
633,,0.92,0.007,0.406,288.0,15.2679,36.0806,144.5,13.74,0.0,3.61,0.81
634,,0.42,0.004,0.111,51.0,24.8187,37.1725,206.2,0.0,0.0,0.1,0.0
635,,0.42,0.004,0.111,51.0,24.8187,37.1725,206.2,0.0,0.0,0.0,0.0
636,,0.35,0.003,,95.66666667,22.3062,37.02836667,203.2333333,0.12,0.08,0.19,0.02
637,,0.35,0.003,,95.66666667,22.3062,37.02836667,203.2333333,0.15,0.07,0.19,0.02
638,,0.53,0.016,,126.0,19.87755,36.71425,156.7,6.13,0.02,1.07,0.38
639,,0.53,0.016,,126.0,19.87755,36.71425,156.7,5.92,0.02,1.07,0.37
640,,0.73,0.041,0.019,187.0,16.50795,36.1741,110.7,14.74,0.0,3.7,0.86
641,,0.73,0.041,0.019,187.0,16.50795,36.1741,110.7,14.78,0.0,3.7,0.86
642,,0.86,0.056,0.001,238.0,15.3804,36.058,114.45,15.73,0.0,4.29,0.93
643,,0.86,0.056,0.001,238.0,15.3804,36.058,114.45,15.72,0.0,4.39,0.93
644,,1.26,0.114,,671.0,8.72355,35.18685,112.05,27.89,0.0,15.51,1.79
645,,1.26,0.114,,671.0,8.72355,35.18685,112.05,27.89,0.0,15.42,1.8
646,,1.09,,,1212.0,5.57015,35.0273,171.85,25.49,0.0,20.2,1.74
647,,1.09,,,1212.0,5.57015,35.0273,171.85,25.55,0.0,20.3,1.75
648,,0.84,0.01,0.217,129.0,19.3563,36.6942,169.9,6.33,0.01,0.97,0.37
649,,0.84,0.01,0.217,129.0,19.3563,36.6942,169.9,6.25,0.02,1.07,0.37
650,,1.08,0.145,0.137,284.0,13.6918,35.6869,85.1,23.42,0.0,7.22,1.4
651,,1.08,0.145,0.137,284.0,13.6918,35.6869,85.1,23.38,0.0,7.22,1.39
652,,1.37,0.155,0.103,404.0,12.4337,35.5924,91.7,24.1,0.0,8.39,1.43
653,,1.37,0.155,0.103,404.0,12.4337,35.5924,91.7,24.02,0.0,8.39,1.43
654,,1.55,0.099,,478.0,11.2413,35.4254,84.7,27.26,0.0,10.73,1.64
655,,1.55,0.099,,478.0,11.2413,35.4254,84.7,27.22,0.0,10.73,1.63
656,,0.47,0.013,0.178,40.0,24.7018,36.82375,207.1,0.01,0.0,0.0,0.0
657,,0.47,0.013,0.178,40.0,24.7018,36.82375,207.1,0.0,0.0,0.0,0.0
658,,0.58,0.14,0.0,71.0,21.62265,36.6588,201.3,0.71,0.11,0.49,0.13
659,,0.58,0.14,0.0,71.0,21.62265,36.6588,201.3,0.65,0.11,0.49,0.13
660,,1.29,0.058,0.054,288.0,12.5515,35.49435,70.65,26.42,0.0,8.97,1.6
661,,1.29,0.058,0.054,288.0,12.5515,35.49435,70.65,26.41,0.0,9.07,1.6
662,,1.38,0.191,0.11,454.5,10.557425,35.26955,61.875,30.75,0.0,12.59,1.86
663,,1.38,0.191,0.11,454.5,10.557425,35.26955,61.875,30.82,0.0,12.78,1.87
664,,1.29,0.076,0.183,808.0,7.1641,34.92195,101.2,32.49,0.0,20.88,2.11
665,,1.29,0.076,0.183,808.0,7.1641,34.92195,101.2,32.42,0.0,20.79,2.11
666,,1.01,0.06,0.22,1110.0,5.9015,34.96035,141.85,28.79,0.0,22.25,1.92
667,,1.01,0.06,0.22,1110.0,5.9015,34.96035,141.85,28.85,0.0,22.05,1.93
