,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
53,0.03,0.84,0.11,0.17,503.0,7.94,34.59666667,9.733333333,41.435,0.0,42.51,2.94
54,0.02,0.63,0.09,0.19,629.0,6.7,34.55,16.9,44.29,0.0,52.075,3.115
55,0.05,0.7,0.14,0.03,755.0,5.806666667000001,34.53,23.16666667,45.705,0.0,63.21,3.21
56,0.02,0.71,0.15,0.09,1007.0,4.433333333,34.53666667,59.8,43.515,0.0,84.975,3.12
57,0.03,0.71,0.13,0.03,1513.0,2.9933333330000003,34.59333333,85.66666667,41.105,0.0,123.92,3.015
58,0.02,0.75,0.02,0.03,1766.0,2.58,34.62,103.35,39.96,0.0,134.995,2.925
66,0.01,0.52,0.0,0.07,20.0,18.94,35.39,247.7,12.26,0.39,4.39,1.09
67,0.01,0.36,0.0,0.06,50.0,18.04,35.3,243.9,12.485,0.51,4.2,1.215
68,0.03,1.1,0.16,0.16,327.0,10.28,34.75,7.1,34.285,0.0,33.28,2.665
69,0.0,0.57,0.0,0.08,20.0,19.05666667,35.35666667,245.93333330000002,13.9,0.45,5.415,1.15
70,0.02,0.52,0.0,0.05,60.0,18.05666667,35.32,240.06666669999998,13.26,0.52,4.44,1.245
71,0.01,0.81,0.0,0.04,100.0,15.52,34.98,142.43333330000002,23.31,0.06,15.665,2.365
72,0.04,0.76,0.02,0.06,120.0,13.87,34.86333333,20.76666667,15.985,2.11,24.25,2.62
73,0.04,1.1,0.41,0.07,156.0,12.88666667,34.88,7.2,13.385,5.075,28.59,2.61
74,0.06,1.14,0.08,0.11,176.0,12.6,34.87333333,6.8,14.965,5.08,29.52,2.605
75,0.04,1.33,0.03,0.07,251.0,11.39,34.81,6.3,28.65,0.655,28.89,2.585
76,0.06,1.37,0.07,0.03,301.0,10.6,34.76,6.433333332999999,32.345,0.015,30.79,2.64
77,0.02,1.26,0.11,0.07,452.0,8.335,34.62,11.4,39.93,0.015,39.095,2.89
78,0.04,1.45,0.07,0.2,503.0,7.785,34.595,14.8,41.725,0.0,42.56,2.98
79,0.04,1.44,0.08,0.07,629.0,6.455,34.535,25.9,44.39,0.0,52.91,3.125
80,0.04,1.2,0.32,0.13,755.0,5.575,34.515,44.7,44.115,0.0,61.06,3.1
81,0.01,1.26,0.07,0.11,1007.0,4.39,34.53,64.85,43.255,0.0,83.66,3.13
82,0.03,1.13,0.08,0.11,1260.0,3.59,34.56,81.5,41.835,0.0,103.81,3.07
83,0.02,1.22,0.05,0.02,1512.666667,2.996666667,34.59,95.26666667,40.725,0.0,119.625,3.015
91,0.02,0.72,0.03,0.09,251.0,11.14,34.79,8.3,31.525,0.0,29.08,2.57
92,0.0,1.21,0.3,0.21,402.0,8.98,34.66,14.6,38.2,0.0,36.21,2.725
93,0.0,0.14,0.0,0.06,40.0,20.94333333,35.47333333,238.9666667,9.405,0.34,3.27,0.86
94,0.0,0.13,0.0,0.03,75.0,19.98333333,35.55,233.4,6.6,0.41,2.585,0.8
95,0.0,0.15,0.0,0.04,110.0,18.30666667,35.32,209.0,7.025,0.96,2.39,0.855
96,0.0,0.17,0.07,0.04,130.0,15.95,35.01333333,157.9666667,14.33,0.04,4.93,1.3
97,0.03,0.41,0.04,0.04,181.0,12.92,34.80333333,17.16666667,20.55,0.02,22.15,2.575
98,0.03,0.66,0.06,0.08,261.0,11.18,34.77,6.9,27.115,0.0,27.33,2.64
99,0.01,0.645,0.055,0.06,321.0,10.24,34.73,9.233333333,33.89,0.0,30.795,2.625
100,0.01,0.81,0.02,0.06,503.0,7.57,34.575,30.65,41.175,0.0,40.75,2.87
101,0.025,0.66,0.07,0.03,1766.0,2.535,34.62,113.4,39.355,0.0,129.14,2.88
106,0.01,0.19,0.0,0.04,25.0,21.44,35.57,235.5,6.38,0.2,2.88,0.665
107,0.02,0.21,0.0,0.06,50.0,20.4,35.74,227.2,1.72,0.23,1.61,0.525
108,0.05,0.14,0.0,0.04,120.0,19.92,35.76,227.8,1.545,0.475,1.22,0.495
109,0.02,0.22,0.0,0.1,161.0,16.37,35.07,178.6,10.34,0.065,3.12,0.995
110,0.01,0.13,0.0,0.04,20.0,21.33,35.74666667,237.3,3.035,0.1,1.61,0.49
111,0.01,0.16,0.0,,60.0,21.17333333,35.79333333,237.16666669999998,1.93,0.07,1.32,0.445
112,0.02,0.42,0.02,0.08,805.0,5.59,34.51,46.9,43.91,0.0,60.965,3.07
113,0.01,0.52,0.06,0.21,906.0,5.02,34.515,51.0,44.04,0.0,71.115,3.115
114,0.02,0.44,0.06,0.04,1007.0,4.54,34.52,62.7,43.31,0.0,79.755,3.095
115,0.03,0.36,0.02,0.04,1209.0,3.805,34.55,81.75,41.81,0.0,96.74,3.055
116,0.01,0.47,0.06,0.09,1816.0,2.525,34.615,119.1,38.875,0.0,126.55,2.84
126,0.02,0.17,0.0,0.1,20.0,21.85,35.81,234.3,1.49,0.05,1.32,0.38
127,0.02,0.25,,0.04,70.0,21.83,35.87,233.7,1.19,0.05,1.27,0.385
128,0.03,0.12,,0.11,125.0,20.28,35.74,216.3,2.02,0.745,1.365,0.535
129,0.02,0.62,0.12,0.09,503.0,7.89,34.59,52.8,37.81,0.0,35.775,2.625
130,0.0,0.17,0.0,0.1,20.0,22.34,35.95333333,230.43333330000002,0.86,0.03,1.12,0.285
131,0.01,0.17,0.0,0.0,75.0,22.14333333,36.01333333,232.66666669999998,0.57,0.035,1.12,0.29
132,0.01,0.24,0.0,0.0,105.0,21.55333333,35.96,226.9,1.02,0.1,1.17,0.34
133,0.01,0.18,,0.0,150.0,20.13,35.71,214.0,1.23,1.09,1.025,0.385
134,0.03,0.82,0.13,0.04,412.0,8.686666667,34.57666667,29.1,36.755,0.0,29.19,2.66
135,0.045,0.72,0.085,0.14,503.0,7.476666667000001,34.53333333,50.66666667,39.07,0.0,34.31,2.685
136,0.01,0.73,0.11,0.05,755.0,5.565,34.49,65.55,42.185,0.0,54.765,2.935
137,0.02,0.48,0.09,0.04,1766.0,2.585,34.61,118.4,39.13,0.0,122.65,2.855
142,0.02,0.3,,0.05,20.0,22.74,35.85,230.9,1.785,0.04,1.025,0.39
143,0.02,0.31,0.0,0.0,60.0,22.46,36.02,231.2,0.205,0.02,1.025,0.32
144,0.04,0.34,,0.03,90.0,22.17,36.15,228.8,0.095,0.03,1.025,0.34
145,0.02,0.24,,0.04,125.0,21.71,36.1,221.1,0.025,0.21,0.83,0.345
146,0.0,0.5,0.03,0.05,296.0,11.42,34.55,92.3,23.27,0.0,16.055,2.11
147,0.0,0.24,0.0,0.02,20.0,23.48333333,35.91,226.9666667,2.505,0.05,1.415,0.41
148,0.02,0.165,0.01,0.0,251.0,14.27,34.75666667,187.7666667,11.635,0.0,3.71,0.995
149,0.0,0.79,0.07,0.06,452.0,8.33,34.57333333,37.9,36.25,0.0,30.065,2.555
160,0.02,0.33,0.0,0.05,20.0,24.305,35.815,224.1,3.805,0.075,1.71,0.465
161,0.0,0.18,0.0,0.05,60.0,23.87,36.17,226.8,0.535,0.03,1.12,0.32
162,0.01,0.25,0.0,0.05,95.0,22.7575,36.22,222.8,0.3,0.1,1.12,0.365
163,0.02,0.31,,0.07,150.0,21.6,36.0675,215.05,0.42,0.785,0.73,0.335
