STNNBR,lat,lon,GEOTRC_SAMPNO,depth,HgT_pM,HgT_flag,Hg0_pM,Hg0_flag,MMHg_pM,MMHg_flag,DMHg_pM,DMHg_flag
5,-12.04,-78.17,2423,600,,9,,9,0.05,2,,5
5,-12.04,-78.17,2422,800,0.81,2,0.04,3,,9,,9
5,-12.04,-78.17,2421,800,,9,,9,0.26,2,0.09,2
5,-12.04,-78.17,2420,1000,0.90,2,0.09,2,,9,,9
5,-12.04,-78.17,2419,1000,,9,,9,0.11,2,0.12,2
5,-12.04,-78.17,2418,1200,3.00,3,0.07,2,,9,,9
5,-12.04,-78.17,2417,1200,,9,,9,0.13,2,0.09,2
5,-12.04,-78.17,2416,1400,0.78,2,0.12,2,,9,,9
5,-12.04,-78.17,2415,1400,,9,,9,0.12,2,0.07,2
5,-12.04,-78.17,2414,1600,0.83,2,0.19,2,,9,,9
5,-12.04,-78.17,2413,1600,,9,,9,0.10,2,0.02,2
5,-12.04,-78.17,2412,1800,0.45,2,0.22,2,,9,,9
5,-12.04,-78.17,2411,1800,,9,,9,0.18,2,0.06,2
5,-12.04,-78.17,2410,1900,0.62,2,0.03,3,,9,,9
5,-12.04,-78.17,2409,1900,,9,,9,0.13,2,0.00,2
5,-12.04,-78.17,2408,2000,0.81,2,0.21,2,,9,,9
5,-12.04,-78.17,2407,2000,,9,,9,0.06,2,0.02,2
5,-12.04,-78.17,2406,2050,0.68,2,0.25,2,,9,,9
5,-12.04,-78.17,2405,2050,,9,,9,0.04,2,0.03,2
5,-12.04,-78.17,2404,2057,0.90,2,0.04,3,,9,,9
5,-12.04,-78.17,2403,2057,,9,,9,0.10,2,,5
6,-12.00,-81.50,3117,2,0.26,2,,9,,9,,9
6,-12.00,-81.50,3100,20,0.21,2,0.02,3,,9,,9
6,-12.00,-81.50,3099,20,,9,,9,0.19,2,0.00,2
6,-12.00,-81.50,3098,50,0.22,2,0.10,2,,9,,9
6,-12.00,-81.50,3097,50,,9,,9,0.02,2,0.00,2
6,-12.00,-81.50,3095,80,0.22,2,0.02,3,0.27,2,0.01,2
6,-12.00,-81.50,3094,95,0.40,2,0.19,2,,9,,9
6,-12.00,-81.50,3093,95,,9,,9,0.18,2,0.01,2
6,-12.00,-81.50,3092,125,1.56,2,0.07,2,,9,,9
6,-12.00,-81.50,3091,125,,9,,9,0.08,2,0.03,2
6,-12.00,-81.50,3090,150,0.55,2,0.03,3,,9,,9
6,-12.00,-81.50,3089,150,,9,,9,0.00,2,0.07,2
6,-12.00,-81.50,3088,180,0.54,2,0.06,2,,9,,9
6,-12.00,-81.50,3087,180,,9,,9,0.14,2,0.05,2
6,-12.00,-81.50,3086,300,0.71,2,0.04,2,,9,,9
6,-12.00,-81.50,3085,300,,9,,9,0.07,2,0.17,2
6,-12.00,-81.50,3084,400,0.59,2,0.09,2,,9,,9
6,-12.00,-81.50,2793,400,,9,,9,0.10,2,0.09,2
6,-12.00,-81.50,2792,600,0.43,2,0.04,2,,9,,9
6,-12.00,-81.50,2791,600,,9,,9,0.17,2,0.15,2
6,-12.00,-81.50,2790,800,0.57,2,0.11,2,,9,,9
6,-12.00,-81.50,2500,800,,9,,9,0.09,2,0.11,2
6,-12.00,-81.50,2499,1000,0.57,2,0.07,2,,9,,9
6,-12.00,-81.50,2498,1000,,9,,9,0.14,2,0.18,2
7,-12.00,-84.00,3176,2,0.19,2,,9,,9,,9
7,-12.00,-84.00,3143,20,0.27,2,0.02,2,,9,,9
7,-12.00,-84.00,3142,20,,9,,9,0.06,2,0.00,2
7,-12.00,-84.00,3141,40,0.33,2,0.01,2,,9,,9
7,-12.00,-84.00,3140,40,,9,,9,0.03,2,0.00,2
7,-12.00,-84.00,3139,60,0.39,2,0.04,2,,9,,9
7,-12.00,-84.00,3138,60,,9,,9,0.04,2,0.00,2
7,-12.00,-84.00,3137,80,0.28,2,0.05,2,,9,,9
7,-12.00,-84.00,3136,80,,9,,9,0.03,2,0.00,2
7,-12.00,-84.00,3135,110,0.63,2,0.25,2,,9,,9
7,-12.00,-84.00,3134,110,,9,,9,0.06,2,0.01,2
7,-12.00,-84.00,3133,125,0.77,2,0.09,2,,9,,9
7,-12.00,-84.00,3132,125,,9,,9,,5,0.03,2
7,-12.00,-84.00,3131,150,0.90,2,0.29,2,,9,,9
7,-12.00,-84.00,3130,150,,9,,9,0.13,2,0.06,2
7,-12.00,-84.00,3129,180,0.71,2,0.23,2,,9,,9
7,-12.00,-84.00,3128,180,,9,,9,0.08,2,0.10,2
7,-12.00,-84.00,3127,250,1.12,2,0.08,2,,9,,9
7,-12.00,-84.00,3126,250,,9,,9,0.20,2,0.07,2
7,-12.00,-84.00,3125,300,0.76,2,0.10,2,,9,,9
7,-12.00,-84.00,3124,300,,9,,9,0.22,2,0.05,2
7,-12.00,-84.00,3123,350,0.79,2,0.05,2,,9,,9
7,-12.00,-84.00,3122,350,,9,,9,0.04,2,0.16,2
7,-12.00,-84.00,3121,400,0.66,2,0.04,2,,9,,9
7,-12.00,-84.00,3254,400,0.73,2,0.04,2,,9,,9
7,-12.00,-84.00,3120,400,,9,,9,0.12,2,0.08,2
7,-12.00,-84.00,3253,400,,9,,9,0.22,2,0.13,2
7,-12.00,-84.00,3252,450,0.75,2,0.02,2,,9,,9
7,-12.00,-84.00,3251,450,,9,,9,0.09,2,0.05,2
7,-12.00,-84.00,3250,500,0.84,2,0.03,2,,9,,9
7,-12.00,-84.00,3249,500,,9,,9,0.17,2,0.11,2
7,-12.00,-84.00,3248,625,0.63,2,0.02,2,,9,,9
7,-12.00,-84.00,3247,625,,9,,9,0.19,2,0.09,2
7,-12.00,-84.00,3246,750,0.70,2,0.05,2,,9,,9
7,-12.00,-84.00,3245,750,,9,,9,0.03,2,0.14,2
7,-12.00,-84.00,3244,1000,0.71,2,0.02,2,,9,,9
7,-12.00,-84.00,3243,1000,,9,,9,0.09,2,0.15,2
7,-12.00,-84.00,3242,1250,0.52,2,0.01,2,,9,,9
7,-12.00,-84.00,3241,1250,,9,,9,0.10,2,0.04,2
7,-12.00,-84.00,3240,1500,0.71,2,0.03,2,,9,,9
7,-12.00,-84.00,3239,1500,,9,,9,0.03,2,0.13,2
7,-12.00,-84.00,3238,1750,0.75,2,0.02,2,,9,,9
7,-12.00,-84.00,3237,1750,,9,,9,0.03,2,0.02,2
7,-12.00,-84.00,3236,2000,0.63,2,0.01,2,,9,,9
7,-12.00,-84.00,3235,2000,,9,,9,0.03,2,0.05,2
7,-12.00,-84.00,3234,2250,0.97,2,0.01,2,,9,,9
7,-12.00,-84.00,3233,2250,,9,,9,0.05,2,0.15,2
7,-12.00,-84.00,3220,2500,0.86,2,0.05,2,,9,,9
7,-12.00,-84.00,3232,2500,0.85,2,0.03,2,,9,,9
7,-12.00,-84.00,3219,2500,,9,,9,0.10,2,0.16,2
7,-12.00,-84.00,3231,2500,,9,,9,,5,,5
7,-12.00,-84.00,3218,2750,1.34,2,0.11,3,,9,,9
7,-12.00,-84.00,3217,2750,,9,,9,0.05,2,0.14,2
7,-12.00,-84.00,3216,3000,1.01,2,0.05,2,,9,,9
7,-12.00,-84.00,3215,3000,,9,,9,0.13,2,0.12,2
7,-12.00,-84.00,3214,3250,1.06,2,0.07,2,,9,,9
7,-12.00,-84.00,3213,3250,,9,,9,0.19,2,0.16,2
7,-12.00,-84.00,3212,3500,1.29,2,0.05,2,,9,,9
7,-12.00,-84.00,3211,3500,,9,,9,0.09,2,0.06,2
7,-12.00,-84.00,3210,3650,1.31,2,0.06,2,,9,,9
7,-12.00,-84.00,3209,3650,,9,,9,0.08,2,0.08,2
7,-12.00,-84.00,3208,3750,1.65,2,0.04,4,,9,,9
7,-12.00,-84.00,3207,3750,,9,,9,0.17,2,0.09,2
7,-12.00,-84.00,3206,4000,1.45,2,0.05,4,,9,,9
7,-12.00,-84.00,3205,4000,,9,,9,0.09,2,0.16,2
7,-12.00,-84.00,3204,4250,1.45,2,0.06,4,,9,,9
7,-12.00,-84.00,3203,4250,,9,,9,0.06,2,0.08,2
7,-12.00,-84.00,3202,4375,1.56,2,0.06,4,,9,,9
7,-12.00,-84.00,3201,4375,,9,,9,0.08,2,0.07,2
7,-12.00,-84.00,3199,4375,,9,,9,,5,0.18,2
7,-12.00,-84.00,3200,4500,1.38,2,0.19,4,,9,,9
7,-12.00,-84.00,3197,4500,,9,,9,0.02,2,0.09,2
7,-12.00,-84.00,3198,4550,2.07,2,0.08,4,,9,,9
8,-12.00,-86.52,3310,2,0.10,2,,9,,9,,9
8,-12.00,-86.52,3292,20,0.52,2,0.01,2,,9,,9
8,-12.00,-86.52,3291,20,,9,,9,0.07,2,0.00,2
8,-12.00,-86.52,3290,50,0.36,2,0.01,2,,9,,9
8,-12.00,-86.52,3289,50,,9,,9,0.06,2,0.00,2
8,-12.00,-86.52,3288,100,0.49,2,0.03,2,,9,,9
8,-12.00,-86.52,3287,100,,9,,9,0.06,2,0.01,2
8,-12.00,-86.52,3286,125,0.79,2,0.05,2,,9,,9
8,-12.00,-86.52,3285,125,,9,,9,0.14,2,0.03,2
8,-12.00,-86.52,3284,160,0.82,2,0.18,2,,9,,9
8,-12.00,-86.52,3283,160,,9,,9,0.09,2,0.04,2
8,-12.00,-86.52,3282,225,0.95,2,0.11,2,,9,,9
8,-12.00,-86.52,3281,225,,9,,9,0.07,2,0.21,2
8,-12.00,-86.52,3280,280,0.96,2,0.04,2,,9,,9
8,-12.00,-86.52,3279,280,,9,,9,0.05,2,0.06,2
8,-12.00,-86.52,3278,325,1.10,2,0.03,2,,9,,9
8,-12.00,-86.52,3277,325,,9,,9,0.16,2,0.16,2
8,-12.00,-86.52,3276,450,1.07,2,0.03,2,,9,,9
8,-12.00,-86.52,3275,450,,9,,9,0.15,2,0.21,2
8,-12.00,-86.52,3274,625,1.08,2,0.03,2,,9,,9
8,-12.00,-86.52,3273,625,,9,,9,0.10,2,0.27,2
8,-12.00,-86.52,3272,800,0.94,2,0.04,2,,9,,9
8,-12.00,-86.52,3271,800,,9,,9,0.03,2,0.13,2
8,-12.00,-86.52,3270,1000,0.90,2,0.05,2,,9,,9
8,-12.00,-86.52,3269,1000,,9,,9,0.13,2,0.18,2
9,-12.00,-89.00,3404,2,0.37,2,,9,,9,,9
9,-12.00,-89.00,3391,20,0.57,2,0.00,2,,9,,9
9,-12.00,-89.00,3390,20,,9,,9,0.08,2,0.00,2
9,-12.00,-89.00,3389,40,0.39,2,0.03,2,,9,,9
9,-12.00,-89.00,3388,40,,9,,9,0.03,2,0.00,2
9,-12.00,-89.00,3387,60,0.52,2,0.02,2,,9,,9
9,-12.00,-89.00,3386,60,,9,,9,0.05,2,0.00,2
9,-12.00,-89.00,3385,100,0.81,2,0.01,2,,9,,9
9,-12.00,-89.00,3384,100,,9,,9,0.04,2,0.00,2
9,-12.00,-89.00,3383,120,0.76,2,0.04,2,,9,,9
9,-12.00,-89.00,3382,120,,9,,9,0.06,2,0.02,2
9,-12.00,-89.00,3381,135,0.97,2,0.05,2,,9,,9
9,-12.00,-89.00,3380,135,,9,,9,,5,0.19,2
9,-12.00,-89.00,3379,155,1.10,2,0.04,2,,9,,9
9,-12.00,-89.00,3378,155,,9,,9,0.07,2,0.41,2
9,-12.00,-89.00,3377,175,1.14,2,0.06,2,,9,,9
9,-12.00,-89.00,3376,175,,9,,9,0.11,2,0.08,2
9,-12.00,-89.00,3375,200,1.20,2,0.07,2,,9,,9
9,-12.00,-89.00,3374,200,,9,,9,0.07,2,0.08,2
9,-12.00,-89.00,3373,250,1.33,2,0.04,2,,9,,9
9,-12.00,-89.00,3372,250,,9,,9,0.07,2,0.03,2
9,-12.00,-89.00,3371,300,1.37,2,0.06,2,,9,,9
9,-12.00,-89.00,3370,300,,9,,9,0.03,2,0.07,2
9,-12.00,-89.00,3442,350,1.26,2,0.03,2,,9,,9
9,-12.00,-89.00,3369,350,1.64,2,0.04,2,,9,,9
9,-12.00,-89.00,3368,350,,9,,9,0.16,2,0.19,2
9,-12.00,-89.00,3441,350,,9,,9,,5,0.12,2
