STNNBR,depth,lat,lon,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
9,450,-12,-89,1.26,0.02,0.07,0.11,39.095,39.93,0.015,2.89,452,8.335,34.62,11.4,4.81,0.02
9,500,-12,-89,1.45,0.04,0.2,0.07,42.56,41.725,0,2.98,503,7.785,34.595,14.8,4.815,0.02
9,625,-12,-89,1.44,0.04,0.07,0.08,52.91,44.39,0,3.125,629,6.455,34.535,25.9,4.82,0.02
9,750,-12,-89,1.2,0.04,0.13,0.32,61.06,44.115,0,3.1,755,5.575,34.515,44.7,4.83,0.02
9,1000,-12,-89,1.26,0.01,0.11,0.07,83.66,43.255,0,3.13,1007,4.39,34.53,64.85,4.83,0.02
9,1250,-12,-89,1.13,0.03,0.11,0.08,103.81,41.835,0,3.07,1260,3.59,34.56,81.5,4.83,0.02
9,1500,-12,-89,1.22,0.02,0.02,0.05,119.625,40.725,0,3.015,1512.666667,2.996666667,34.59,95.26666667,4.83,0.02
9,2250,-12,-89,1.03,0.02,0.09,0.105,144.025,38.445,0,2.845,2273,2.05,34.65,126,4.84,0.02
9,2500,-12,-89,1.34,0.05,0.1,0.24,143.97,37.58,0,2.775,2527,1.88,34.66,139.8,4.84,0.02
9,2750,-12,-89,1.35,0.04,0.05,0.18,144.165,37.13,0,2.74,2782,1.82,34.67,147.2,4.84,0.01
9,3000,-12,-89,1.41,0.06,0.03,0.09,140.8,36.52,0,2.69,3036,1.78,34.67,156.1,4.84,0.01
9,3250,-12,-89,1.55,0.18,0.09,0.23,138.26,36.18,0,2.66,3291,1.78,34.68,161.6,4.84,0.01
9,4000,-12,-89,1.83,0.05,0.05,0.29,138.065,36.105,0,2.655,4058,1.81,34.68,166.6,4.84,0.01
9,4050,-12,-89,1.86,0.07,0.07,0.24,138.165,36.075,0,2.65,4109,1.82,34.68,167,4.84,0.01
