STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
13,20,-14.0,-99.0,0.0,0.0,1.9,0.13,0.01,0.04,0.0,1.61,3.035,0.1,0.49,20.0,21.33,35.74666667,237.3,4.7,0.203333333
13,60,-14.0,-99.0,0.0,0.0,1.55,0.16,0.01,,0.0,1.32,1.93,0.07,0.445,60.0,21.17333333,35.79333333,237.16666669999998,4.716666667,0.283333333
13,900,-14.0,-99.0,0.01,0.34,0.14,0.52,0.01,0.21,0.06,71.115,44.04,0.0,3.115,906.0,5.02,34.515,51.0,4.825,0.02
13,1200,-14.0,-99.0,0.0,0.0,0.12,0.36,0.03,0.04,0.02,96.74,41.81,0.0,3.055,1209.0,3.805,34.55,81.75,4.83,0.02
13,1800,-14.0,-99.0,0.01,0.0,0.08,0.47,0.01,0.09,0.06,126.55,38.875,0.0,2.84,1816.0,2.525,34.615,119.1,4.835,0.02
13,2400,-14.0,-99.0,0.01,0.0,0.06,0.805,0.035,0.23,0.1,130.795,36.1,0.0,2.62,2426.0,1.905,34.66,158.15,4.84,0.01
13,3000,-14.0,-99.0,0.02,0.0,0.04,1.17,0.03,0.14,0.12,138.895,36.2,0.0,2.645,3036.0,1.79,34.67,161.4,4.84,0.01
13,3700,-14.0,-99.0,0.01,0.0,0.08,1.25,0.03,,0.17,147.145,36.815,0.0,2.68,3751.0,1.83,34.67,158.7,4.84,0.01
13,3750,-14.0,-99.0,0.01,0.0,0.07,1.26,0.05,0.08,0.13,146.85,36.785,0.0,2.685,3802.0,1.84,34.67,158.8,4.84,0.01
15,20,-16.0,-104.0,0.0,0.0,1.21,0.17,0.0,0.1,0.0,1.12,0.86,0.03,0.285,20.0,22.34,35.95333333,230.43333330000002,4.74,0.136666667
15,75,-16.0,-104.0,0.0,0.0,1.14,0.17,0.01,0.0,0.0,1.12,0.57,0.035,0.29,75.0,22.14333333,36.01333333,232.66666669999998,4.733333333,0.246666667
15,105,-16.0,-104.0,0.0,0.0,0.66,0.24,0.01,0.0,0.0,1.17,1.02,0.1,0.34,105.0,21.55333333,35.96,226.9,4.763333333,0.22
15,150,-16.0,-104.0,0.0,0.0,0.4,0.18,0.01,0.0,,1.025,1.23,1.09,0.385,150.0,20.13,35.71,214.0,4.79,0.073333333
15,410,-16.0,-104.0,0.0,0.39,0.21,0.82,0.03,0.04,0.13,29.19,36.755,0.0,2.66,412.0,8.686666667,34.57666667,29.1,4.81,0.02
15,750,-16.0,-104.0,0.01,0.35,0.18,0.73,0.01,0.05,0.11,54.765,42.185,0.0,2.935,755.0,5.565,34.49,65.55,4.82,0.02
17,20,-15.0,-109.19,0.0,0.0,1.64,0.24,0.0,0.02,0.0,1.415,2.505,0.05,0.41,20.0,23.48333333,35.91,226.9666667,4.703333333,0.11666666699999999
17,250,-15.0,-109.19,0.0,0.0,0.19,0.165,0.02,0.0,0.01,3.71,11.635,0.0,0.995,251.0,14.27,34.75666667,187.7666667,4.806666667,0.01
17,2000,-15.0,-109.19,0.0,0.0,0.05,0.76,0.02,0.02,0.1,127.97,37.335,0.0,2.695,2019.0,2.175,34.63,139.95,4.84,0.01
17,2500,-15.0,-109.19,0.02,0.0,0.04,1.085,0.03,0.13,0.12,135.09,36.105,0.0,2.56,2527.0,1.835,34.66,158.85,4.84,0.01
17,2999,-15.0,-109.19,0.01,0.0,0.05,1.41,0.02,,,143.925,36.655,0.0,2.62,3035.0,1.8,34.67,157.6,4.84,0.01
17,3675,-15.0,-109.19,0.02,0.0,0.04,,,0.05,0.1,147.535,36.935,0.0,2.65,3726.0,1.85,34.67,158.4,4.83,0.01
18,20,-14.98,-112.75,0.01,0.0,0.65,0.33,0.02,0.05,0.0,1.71,3.805,0.075,0.465,20.0,24.305,35.815,224.1,4.6975,0.125
18,60,-14.98,-112.75,0.01,0.0,0.68,0.18,0.0,0.05,0.0,1.12,0.535,0.03,0.32,60.0,23.87,36.17,226.8,4.7125,0.205
18,95,-14.98,-112.75,0.01,0.0,0.39,0.25,0.01,0.05,0.0,1.12,0.3,0.1,0.365,95.0,22.7575,36.22,222.8,4.75,0.215
18,150,-14.98,-112.75,0.01,0.0,0.27,0.31,0.02,0.07,,0.73,0.42,0.785,0.335,150.0,21.6,36.0675,215.05,4.7875,0.0775
18,355,-14.98,-112.75,0.01,0.38,0.15,0.54,0.02,0.05,0.1,25.38,30.705,0.0,2.6,356.0,10.445,34.6425,23.275,4.8,0.02
18,1400,-14.98,-112.75,0.0,0.0,0.03,,,0.09,0.02,109.715,39.935,0.0,2.855,1411.0,3.106666667,34.57333333,103.4333333,4.83,0.016666667
18,1800,-14.98,-112.75,0.01,0.0,0.05,,,0.09,0.02,124.405,38.19,0.0,2.725,1816.0,2.406666667,34.62,127.46666670000002,4.83,0.02
18,2000,-14.98,-112.75,0.01,0.0,0.04,,,0.05,0.05,128.21,37.205,0.0,2.65,2019.0,2.146666667,34.64,140.16666669999998,4.83,0.013333333000000001
18,2300,-14.98,-112.75,0.02,0.0,0.05,,,0.125,0.095,126.525,35.4975,0.0,2.54,2324.0,1.8866666669999999,34.65666667,164.16666669999998,4.836666667,0.01
