STNNBR,lat,lon,depth,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_umolC_L,POC_sink_flag,POC_susp_flag
3,-12.05,-77.66,90,0.00,2,0.00,6,1.40,0,0
3,-12.05,-77.66,170,0.00,2,0.00,2,1.03,0,0
4,-12.04,-77.82,20,0.00,2,,5,2.37,0,0
4,-12.04,-77.82,48,0.00,2,0.00,2,2.28,0,0
4,-12.04,-77.82,68,0.00,2,0.00,2,1.53,0,0
4,-12.04,-77.82,110,0.00,2,0.04,2,1.43,0,0
4,-12.04,-77.82,200,0.00,2,0.00,2,0.83,0,0
4,-12.04,-77.82,300,0.00,2,0.08,6,0.82,0,0
4,-12.04,-77.82,500,0.01,2,0.29,2,0.34,0,0
4,-12.04,-77.82,675,,5,0.31,3,1.27,8,4
5,-12.04,-78.17,15,0.00,2,0.03,2,3.32,0,0
5,-12.04,-78.17,75,0.01,2,0.00,2,1.79,0,0
5,-12.04,-78.17,120,0.00,2,0.05,2,1.34,0,0
5,-12.04,-78.17,200,0.02,2,0.00,2,0.79,0,0
5,-12.04,-78.17,600,0.01,2,0.32,6,0.24,0,0
5,-12.04,-78.17,1200,0.01,2,0.00,6,0.24,0,0
5,-12.04,-78.17,1800,0.01,2,0.00,2,0.32,0,0
5,-12.04,-78.17,2040,0.01,2,0.00,2,0.53,0,0
7,-12.00,-84.00,20,0.00,2,0.00,2,2.05,0,0
7,-12.00,-84.00,60,0.00,2,0.00,2,1.28,0,0
7,-12.00,-84.00,110,0.00,2,0.00,2,1.51,0,0
7,-12.00,-84.00,150,0.00,2,0.00,2,1.23,0,0
7,-12.00,-84.00,250,0.00,2,0.00,2,0.67,0,0
7,-12.00,-84.00,500,0.01,2,0.28,2,0.23,0,0
7,-12.00,-84.00,750,0.01,2,0.31,2,0.20,0,0
7,-12.00,-84.00,1000,0.01,2,0.34,2,0.15,0,0
7,-12.00,-84.00,1250,0.00,2,0.00,2,0.15,0,0
7,-12.00,-84.00,1750,0.00,2,0.00,2,0.13,0,0
7,-12.00,-84.00,2250,0.01,2,0.00,2,0.07,0,4
7,-12.00,-84.00,3000,0.01,2,0.00,2,0.04,0,4
7,-12.00,-84.00,3625,0.01,2,0.00,2,0.02,0,4
7,-12.00,-84.00,4250,0.01,2,0.00,2,0.02,0,4
7,-12.00,-84.00,4500,0.01,2,0.00,2,0.03,0,4
7,-12.00,-84.00,4535,0.01,2,0.00,2,0.03,0,4
9,-12.00,-89.00,20,0.00,2,,5,1.88,0,0
9,-12.00,-89.00,60,0.00,2,0.00,2,1.32,0,0
9,-12.00,-89.00,135,0.00,2,0.00,2,0.94,0,0
9,-12.00,-89.00,155,0.00,2,0.00,2,1.01,0,0
9,-12.00,-89.00,250,0.00,2,0.00,2,0.45,0,0
9,-12.00,-89.00,400,0.01,2,0.27,2,0.23,0,0
9,-12.00,-89.00,625,0.01,2,0.29,2,0.17,0,0
9,-12.00,-89.00,750,0.01,2,0.00,2,0.15,0,0
9,-12.00,-89.00,1000,0.01,2,,5,0.13,0,0
9,-12.00,-89.00,1500,0.01,2,0.00,2,0.12,0,0
9,-12.00,-89.00,2000,0.01,2,0.00,2,0.11,0,0
9,-12.00,-89.00,2500,0.01,2,0.00,2,0.20,0,0
9,-12.00,-89.00,3000,0.01,2,0.00,2,0.08,0,0
9,-12.00,-89.00,3500,0.02,2,0.00,2,0.05,0,4
9,-12.00,-89.00,4000,0.01,6,0.00,2,0.02,0,4
9,-12.00,-89.00,4075,0.01,2,0.00,2,0.03,0,4
11,-12.00,-94.00,20,,2,,2,1.92,0,0
11,-12.00,-94.00,40,0.00,2,0.00,2,2.37,0,0
11,-12.00,-94.00,75,0.00,2,0.00,2,1.10,0,0
11,-12.00,-94.00,110,0.00,2,0.00,2,0.67,0,0
11,-12.00,-94.00,130,,2,,2,0.11,0,0
11,-12.00,-94.00,180,0.00,2,0.00,2,0.30,0,0
11,-12.00,-94.00,225,0.01,2,0.00,2,0.50,0,0
11,-12.00,-94.00,260,0.00,2,0.00,2,0.21,0,0
11,-12.00,-94.00,320,0.00,2,0.28,6,0.25,0,0
