Year,STNNBR,LATITUDE,LONGITUDE,CTDDEPTH,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
2010,7,24.00,-22.00,2998,37.67,2,21.14,2,0.00,2,1.47,2
2010,7,24.00,-22.00,3248,40.21,2,21.30,2,0.00,2,1.48,2
2010,7,24.00,-22.00,3248,40.50,2,21.31,2,0.00,2,1.47,2
2010,7,24.00,-22.00,3498,43.04,2,21.62,2,0.00,2,1.50,2
2010,7,24.00,-22.00,3498,42.84,2,21.63,2,0.01,2,1.50,2
2010,7,24.00,-22.00,3827,44.31,2,21.53,2,0.00,2,1.50,2
2010,7,24.00,-22.00,3827,44.21,2,21.54,2,0.01,2,1.50,2
2010,7,24.00,-22.00,4157,46.26,2,21.69,2,0.01,2,1.51,2
2010,7,24.00,-22.00,4157,46.45,2,21.77,2,0.00,2,1.52,2
2010,7,24.00,-22.00,4496,46.94,2,21.77,2,0.00,2,1.51,2
2010,7,24.00,-22.00,4496,47.43,2,21.75,2,0.00,2,1.50,2
2010,8,21.00,-22.00,35,0.58,2,0.01,2,0.00,2,0.05,2
2010,8,21.00,-22.00,35,0.49,2,0.01,2,0.00,2,0.04,2
2010,8,21.00,-22.00,56,0.49,2,0.00,2,0.00,2,0.02,2
2010,8,21.00,-22.00,56,0.58,2,0.00,2,0.00,2,0.01,2
2010,8,21.00,-22.00,91,0.88,2,0.57,2,0.18,2,0.15,2
2010,8,21.00,-22.00,91,0.97,2,0.60,2,0.18,2,0.14,2
2010,8,21.00,-22.00,111,1.46,2,3.85,2,0.08,2,0.30,2
2010,8,21.00,-22.00,111,1.36,2,4.06,2,0.08,2,0.30,2
2010,8,21.00,-22.00,135,3.02,2,10.74,2,0.02,2,0.68,2
2010,8,21.00,-22.00,135,3.02,2,10.66,2,0.02,2,0.67,2
2010,8,21.00,-22.00,186,3.41,2,11.08,2,0.01,2,0.67,2
2010,8,21.00,-22.00,186,3.31,2,11.05,2,0.01,2,0.68,2
2010,8,21.00,-22.00,236,4.48,2,13.51,2,0.01,2,0.82,2
2010,8,21.00,-22.00,236,4.48,2,13.46,2,0.01,2,0.82,2
2010,8,21.00,-22.00,285,5.46,2,15.84,2,0.00,2,0.96,2
2010,8,21.00,-22.00,285,5.27,2,15.81,2,0.01,2,0.96,2
2010,8,21.00,-22.00,421,8.29,2,21.03,2,0.00,2,1.27,2
2010,8,21.00,-22.00,421,8.29,2,20.85,2,0.00,2,1.26,2
2010,8,21.00,-22.00,666,17.17,2,30.23,2,0.00,2,1.91,2
2010,8,21.00,-22.00,666,17.17,2,30.16,2,0.00,2,1.91,2
2010,8,21.00,-22.00,965,21.76,2,28.71,2,0.00,2,1.92,2
2010,8,21.00,-22.00,965,21.57,2,28.76,2,0.00,2,1.92,2
2010,8,21.00,-22.00,1200,20.39,2,25.03,2,0.00,2,1.69,2
2010,8,21.00,-22.00,1200,20.30,2,24.97,2,0.00,2,1.68,2
2010,9,17.35,-18.25,28,0.88,2,0.00,2,0.00,2,0.04,2
2010,9,17.35,-18.25,28,0.98,2,0.00,2,0.00,2,0.03,2
2010,9,17.35,-18.25,49,2.44,2,5.55,2,0.36,2,0.70,2
2010,9,17.35,-18.25,49,2.54,2,5.47,2,0.35,2,0.68,2
2010,9,17.35,-18.25,89,6.92,2,23.28,2,0.03,2,1.52,2
2010,9,17.35,-18.25,89,6.92,2,23.29,2,0.03,2,1.52,2
2010,9,17.35,-18.25,109,7.31,2,23.50,2,0.02,2,1.51,2
2010,9,17.35,-18.25,109,7.61,2,23.55,2,0.01,2,1.51,2
2010,9,17.35,-18.25,135,8.19,2,24.39,2,0.00,2,1.57,2
2010,9,17.35,-18.25,135,8.19,2,24.43,2,0.00,2,1.57,2
2010,9,17.35,-18.25,185,9.17,2,25.87,2,0.00,2,1.64,2
2010,9,17.35,-18.25,185,9.17,2,25.91,2,0.00,2,1.64,2
2010,9,17.35,-18.25,221,9.66,2,26.75,2,0.00,2,1.68,2
2010,9,17.35,-18.25,221,9.95,2,26.73,2,0.00,2,1.68,2
2010,9,17.35,-18.25,285,11.12,2,28.91,2,0.00,2,1.78,2
2010,9,17.35,-18.25,285,11.02,2,28.88,2,0.00,2,1.77,2
2010,9,17.35,-18.25,361,12.49,2,31.53,2,0.00,2,1.92,2
2010,9,17.35,-18.25,361,12.68,2,31.55,2,0.00,2,1.93,2
2010,9,17.35,-18.25,665,19.32,2,34.10,2,0.00,2,2.17,2
2010,9,17.35,-18.25,665,19.13,2,34.12,2,0.00,2,2.17,2
2010,9,17.35,-18.25,965,24.69,2,32.39,2,0.00,2,2.15,2
2010,9,17.35,-18.25,965,24.40,2,32.28,2,0.00,2,2.15,2
2010,9,17.35,-18.25,1200,24.01,2,28.08,2,0.00,2,1.91,2
2010,9,17.35,-18.25,1200,24.20,2,28.04,2,0.00,2,1.91,2
