Year,sta,depth,lat,lon,Hg_total,Hg_total_flag,Hg0,Hg0_flag,MMHg_fM,MMHg_flag,DMHg_fM,DMHg_flag
2010,7,3498,24.00,-22.00,0.89,2,0.35,2,,4,,4
2010,7,3827,24.00,-22.00,0.74,2,0.35,2,29.00,2,,4
2010,7,4157,24.00,-22.00,0.81,2,0.34,2,19.00,2,59.00,4
2010,7,4496,24.00,-22.00,,2,0.33,2,20.00,2,112.00,4
2010,8,2,21.00,-22.00,0.26,2,0.04,2,21.00,2,,4
2010,8,35,21.00,-22.00,0.85,2,0.06,2,23.00,2,,4
2010,8,56,21.00,-22.00,0.49,2,0.04,2,20.00,2,,4
2010,8,91,21.00,-22.00,0.78,2,0.06,2,,4,,4
2010,8,111,21.00,-22.00,0.63,2,0.15,2,39.00,2,,4
2010,8,135,21.00,-22.00,0.46,2,0.16,2,39.00,2,,4
2010,8,186,21.00,-22.00,0.62,2,0.17,2,41.00,2,,4
2010,8,236,21.00,-22.00,0.57,2,0.21,2,54.00,2,,4
2010,8,285,21.00,-22.00,0.78,2,0.21,2,,4,,4
2010,8,421,21.00,-22.00,0.72,2,0.34,2,66.00,2,,4
2010,8,666,21.00,-22.00,0.83,2,0.43,2,93.00,2,,4
2010,8,965,21.00,-22.00,0.71,2,0.34,2,,4,,4
2010,8,1200,21.00,-22.00,0.58,2,0.34,2,39.00,2,,4
2010,9,2,17.35,-18.25,0.21,2,0.05,2,20.00,2,38.00,4
2010,9,28,17.35,-18.25,0.58,2,0.09,2,17.00,2,14.00,4
2010,9,49,17.35,-18.25,,3,0.11,2,23.00,2,,4
2010,9,89,17.35,-18.25,0.66,2,0.24,2,20.00,2,,4
2010,9,109,17.35,-18.25,0.81,2,0.31,2,35.00,2,,4
2010,9,135,17.35,-18.25,0.72,2,0.39,2,41.00,2,,4
2010,9,185,17.35,-18.25,0.78,2,0.42,2,,4,,4
2010,9,221,17.35,-18.25,1.27,3,0.44,2,,4,,4
2010,9,285,17.35,-18.25,1.02,2,0.48,2,,4,,4
2010,9,361,17.35,-18.25,1.02,2,0.55,2,80.00,2,15.00,4
2010,9,665,17.35,-18.25,1.05,2,0.56,2,54.00,2,,4
2010,9,797,17.36,-18.25,0.81,2,0.54,2,38.00,2,,4
2010,9,965,17.35,-18.25,0.94,2,0.48,2,,4,,4
2010,9,1095,17.36,-18.25,0.41,3,0.46,2,36.00,2,,4
2010,9,1200,17.35,-18.25,0.42,2,0.42,2,33.00,2,,4
2010,9,1236,17.36,-18.25,0.43,2,0.39,2,,4,,4
2010,9,1385,17.36,-18.25,0.42,3,0.33,3,,4,,4
2010,9,1538,17.36,-18.25,0.57,2,0.37,2,37.00,2,,4
2010,9,1787,17.36,-18.25,0.95,3,0.35,2,,4,,4
2010,9,1883,17.36,-18.25,0.79,3,,4,25.00,2,,4
2010,9,2088,17.36,-18.25,0.76,2,,4,,4,,4
2010,9,2294,17.36,-18.25,,3,0.31,2,20.00,2,,4
2010,9,2585,17.36,-18.25,,2,0.30,2,,4,,4
2010,9,2900,17.36,-18.25,,2,0.32,2,,4,,4
2010,9,2999,17.36,-18.25,,2,0.31,2,,4,,4
