Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,MMHgP_pmol_ug,POC_ugram_L
2010,9,135,17.35,-18.25,0.72,0.39,41.0,,136.0,14.12645,35.5779,65.2,4.64065,0.008,8.19,24.41,0.0,1.57,0.00251234,0.110542973,6.1399
2010,9,185,17.35,-18.25,0.78,0.42,,,186.0,13.3025,35.49355,61.85,4.64245,0.0065,9.17,25.89,0.0,1.64,0.002339759,,6.1189
2010,9,665,17.35,-18.25,1.05,0.56,54.0,,671.0,8.38155,35.03815,71.5,4.6606,0.006999999999999999,19.225,34.11,0.0,2.17,0.00280851,0.261191445,3.4114
2010,9,797,17.36,-18.25,0.81,0.54,38.0,,804.0,7.2723,34.93755,87.3,4.6641,0.006999999999999999,22.3,34.17,0.0,2.215,0.002555659,0.37695971100000003,1.9804
2010,9,2900,17.36,-18.25,,0.32,,,2942.0,2.7748,34.9289,228.9,4.6692,0.006999999999999999,38.599999999999994,21.8,0.0,1.5150000000000001,0.00229356,,1.6622
2010,9,2999,17.36,-18.25,,0.31,,,3043.0,2.6959,34.9234,222.4,4.6398,0.009000000000000001,41.769999999999996,22.02,0.0,1.5350000000000001,0.001370405,0.0015988060000000001,3.0397
2010,10,32,17.35,-20.82,0.84,0.08,19.0,27.0,32.0,27.0735,36.27185,201.5,4.5851,0.05,0.44,0.005,0.005,0.035,0.001384662,0.028731733,16.0063
2010,10,51,17.35,-20.82,0.47,0.12,18.0,,51.0,19.56015,36.12005,125.65,4.54585,0.3435,3.95,16.145000000000003,0.44,1.15,,,0.9658
2010,10,101,17.35,-20.82,1.17,0.13,,52.0,102.0,14.65485,35.6018,61.95,4.63625,0.0465,7.705,25.115000000000002,0.02,1.56,0.003556658,0.059751859000000004,6.4033
2010,10,141,17.35,-20.82,0.88,0.14,,,142.0,14.0325,35.6152,74.15,4.64375,0.0075,8.34,24.52,0.01,1.525,,,
2010,10,186,17.35,-20.82,1.16,0.46,33.0,79.0,187.0,12.93905,35.41515,75.3,4.645,0.0075,9.27,25.775,0.01,1.615,0.003627972,,3.8598999999999997
2010,10,235,17.35,-20.82,1.19,0.53,54.0,,237.0,12.5862,35.41865,71.2,4.6465,0.0065,9.71,26.544999999999998,0.005,1.65,0.002567686,0.29271624399999996,3.7097
2010,10,421,17.35,-20.82,1.2,0.64,56.0,,424.0,10.68465,35.26465,52.9,4.652,0.006999999999999999,13.755,32.315,0.0,1.965,0.006567465,0.006567465,1.5203
2010,10,665,17.35,-20.82,0.86,0.58,38.0,,671.0,8.2156,35.0084,70.55,4.66215,0.008,20.055,34.835,0.0,2.3049999999999997,0.002107724,0.464753064,2.5908
2010,10,800,17.35,-20.82,0.79,0.58,35.0,,807.0,7.07475,34.9084,88.15,4.6658,0.006999999999999999,22.884999999999998,34.69,0.0,2.275,,,
2010,10,964,17.35,-20.83,0.84,0.48,31.0,,973.0,6.2476,34.9183,119.0,4.6678,0.006999999999999999,23.765,32.235,0.0,2.14,,0.470562043,1.6355
2010,10,1498,17.35,-20.83,0.63,0.36,31.0,,1514.0,4.6415,35.0075,192.0,4.6728,0.006,23.225,24.43,0.0,1.6549999999999998,,,
2010,10,1999,17.35,-20.83,0.99,0.33,31.0,53.0,2023.0,3.6679,34.9782,223.5,4.6748,0.005,26.155,21.895,0.0,1.475,,0.09441227699999999,1.347
2010,10,2999,17.35,-20.83,1.05,0.32,26.0,,3043.0,2.7259,34.9272,236.6,4.6777,0.005,37.96,21.520000000000003,0.0,1.46,,,
2010,11,30,17.35,-22.78,0.8,0.06,21.0,,30.0,27.1003,36.2209,202.0,4.59345,0.0355,0.33999999999999997,0.005,0.0,0.045,0.000874175,0.012588121,29.541
2010,11,62,17.35,-22.78,0.81,0.04,17.0,79.0,62.0,21.086,36.6912,168.25,4.57065,0.3005,1.22,1.795,0.265,0.255,0.000703363,0.004923544,15.4087
2010,11,85,17.35,-22.78,0.74,0.18,29.0,,85.0,18.44495,36.37305,108.95,4.61775,0.1185,3.22,13.535,0.05,0.845,0.0010553469999999999,,8.1559
2010,11,136,17.35,-22.78,0.62,0.26,41.0,388.0,137.0,16.20615,36.12745,98.4,4.6419,0.0155,5.12,17.785,0.0,1.07,,0.132720418,4.4918
2010,11,180,17.35,-22.78,0.74,0.31,48.0,310.0,181.0,15.06015,35.9414,91.4,4.64735,0.0025,6.095,19.525,0.0,1.17,,,
2010,11,250,17.35,-22.78,0.89,0.46,63.0,160.0,252.0,13.7989,35.75225,87.85,4.64985,0.004,7.800000000000001,22.675,0.0,1.36,0.003091407,0.091711733,3.0354
2010,11,450,17.35,-22.78,0.71,0.35,140.0,26.0,454.0,10.47405,35.29465,74.65,4.65695,0.0065,13.61,29.845,0.0,1.81,0.001062336,0.32401240000000003,2.4586
2010,11,600,17.35,-22.78,0.69,0.61,64.0,,605.0,8.7052,35.09045,83.55,4.663,0.006,18.295,32.295,0.0,2.04,0.002495748,0.13352251099999998,2.2157
2010,11,801,17.35,-22.78,1.16,0.54,,,808.0,7.0315,34.9365,103.55,4.6666,0.006,22.1,32.725,0.0,2.12,,,
2010,11,1499,17.35,-22.78,0.98,0.29,54.0,,1515.0,4.715,35.0247,192.7,4.6752,0.005,23.37,23.92,0.0,1.625,,,
2010,11,1998,17.35,-22.78,0.7,0.29,,,2022.0,3.594,34.9787,226.1,4.6775,0.006,26.494999999999997,21.48,0.0,1.4649999999999999,0.0014689339999999999,,1.061
2010,11,2499,17.35,-22.78,1.26,0.17,20.0,70.0,2533.0,3.054,34.9499,238.2,4.6789,0.005,31.67,20.93,0.0,1.43,,,
2010,11,2998,17.35,-22.78,,0.35,29.0,,3042.0,2.7265,34.9284,241.3,4.6797,0.005,37.135000000000005,21.064999999999998,0.0,1.435,0.00173794,0.18595953399999998,0.6993
2010,11,3198,17.35,-22.78,,0.34,22.0,,3246.0,2.6168,34.9193,240.1,4.6778,0.005,40.155,21.285,0.0,1.4449999999999998,0.001811286,0.068828859,0.8059999999999999
2010,11,3298,17.35,-22.78,,0.24,,105.0,3349.0,2.5616,34.9137,238.2,4.6759,0.005,41.72,21.564999999999998,0.0,1.46,0.002225261,0.061194675999999996,1.5539
2010,12,38,17.4,-24.5,0.2,0.04,40.0,104.0,38.0,26.64765,36.92185,203.75,4.593,0.0615,0.34,0.0,0.0,0.02,0.001284402,,14.4848
