Year,station_GEOTRC,depth_n,lat,lon,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2011,14,772,27.58,-49.63,0.002014659,2,0.002014659,2,1.1333,4,1
2011,14,966,27.58,-49.63,,4,,2,,1,1
2011,14,1452,27.58,-49.63,,4,0.008323726,2,0.692,4,1
2011,14,1798,27.58,-49.63,,4,,2,,1,1
2011,14,2402,27.58,-49.63,,4,,2,0.5878,1,4
2011,14,3002,27.58,-49.63,,6,,2,,1,1
2011,14,4000,27.58,-49.63,0.005075125,6,0.040600996,2,0.9146,4,4
2011,14,4231,27.58,-49.63,,2,,2,,1,1
2011,14,4401,27.58,-49.63,,4,0.03688706,2,0.3899,1,4
2011,16,39,26.14,-44.83,0.00386235,2,,2,14.4148,1,1
2011,16,89,26.14,-44.83,0.002898208,2,,4,9.1605,1,1
2011,16,114,26.14,-44.83,0.002305514,2,,2,7.6704,1,1
2011,16,137,26.14,-44.83,,2,,2,,1,1
2011,16,237,26.14,-44.83,,2,,2,,1,1
2011,16,420,26.14,-44.83,0.011550374,2,0.042901388,2,1.9951,1,1
2011,16,596,26.14,-44.83,0.013425522,2,0.107404175,2,1.0983,1,1
2011,16,801,26.14,-44.83,0.010540721,2,,2,2.5542,1,1
2011,16,1501,26.14,-44.83,0.005186117,2,,4,1.0671,1,1
2011,16,2101,26.14,-44.83,,2,,4,,1,1
2011,16,3001,26.14,-44.83,0.019447253,2,0.036116328,2,1.4976,1,1
2011,16,3301,26.14,-44.83,0.03508701,2,,4,1.5855,1,1
2011,16,3401,26.14,-44.83,0.040852866,2,0.117229963,2,1.3788,1,1
2011,16,3505,26.14,-44.83,0.024350188,2,,2,1.2507,1,1
2011,16,3600,26.14,-44.83,0.005011326,2,0.047607593,2,1.4305,1,1
2011,18,40,24.15,-40.22,0.004791321,2,0.00239566,2,15.8825,1,1
2011,18,95,24.15,-40.22,0.005015946,2,,4,10.6605,1,1
2011,18,115,24.15,-40.22,0.004723264,2,,4,9.0098,1,1
2011,18,137,24.15,-40.22,,2,,2,,1,1
2011,18,187,24.15,-40.22,0.007124303,2,,4,4.2973,1,1
2011,18,236,24.15,-40.22,0.004497401,2,,4,3.5102,1,1
2011,18,420,24.15,-40.22,0.004738947,2,0.045809823,2,1.7826,1,1
2011,18,596,24.15,-40.22,0.008322722,2,0.101953343,2,1.4941,1,1
2011,18,820,24.15,-40.22,0.002996919,2,0.023975353,2,0.5303,1,1
2011,18,1520,24.15,-40.22,0.006063785,2,0.04851028,2,0.5175,4,1
2011,18,2120,24.15,-40.22,,6,,2,,1,1
2011,18,3022,24.15,-40.22,0.005139855,2,0.030839133,2,0.3987,4,1
2011,18,3822,24.15,-40.22,,4,,2,,1,1
2011,18,4222,24.15,-40.22,0.00404919,2,0.247000563,2,0.6681,1,4
2011,18,4325,24.15,-40.22,,2,,2,,1,1
2011,18,4362,24.15,-40.22,0.008308167,2,,4,0.2691,4,1
2011,20,40,22.33,-35.87,0.00597641,2,,2,13.3735,1,1
2011,20,75,22.33,-35.87,,2,,2,,1,1
2011,20,100,22.33,-35.87,0.005933611,2,0.00329645,2,8.9992,1,1
2011,20,136,22.33,-35.87,0.004301364,2,,4,6.7712,1,1
2011,20,186,22.33,-35.87,0.003296088,2,0.002197392,2,4.5599,1,1
2011,20,236,22.33,-35.87,0.005254743,2,0.003941058,2,1.8463,1,1
2011,20,374,22.33,-35.87,0.006979526,2,,4,2.2861,1,1
2011,20,732,22.33,-35.87,0.00597862,2,,4,1.7237,1,1
2011,20,2300,22.33,-35.87,0.002909074,2,,4,1.1424,4,1
2011,20,3500,22.33,-35.87,0.003128314,2,0.071951223,2,0.7669,4,1
2011,20,4701,22.33,-35.87,,2,,2,,1,1
2011,20,5266,22.33,-35.87,0.003389325,2,,4,1.1958,4,1
2011,20,5316,22.33,-35.87,,2,,2,,1,1
2011,20,5371,22.33,-35.87,0.002905836,2,,4,0.8943,4,1
2011,20,5420,22.33,-35.87,0.006182858,2,0.03091429,2,0.9904,1,1
2011,22,50,19.43,-29.38,0.002846281,6,,4,13.3402,1,1
2011,22,90,19.43,-29.38,0.003106638,6,,4,11.0321,4,1
2011,22,125,19.43,-29.38,0.004763039,2,,4,5.4739,1,1
2011,22,187,19.43,-29.38,,2,,2,,1,1
2011,22,237,19.43,-29.38,0.004658421,2,0.005823027,2,3.4836,1,1
2011,22,392,19.43,-29.38,0.003894775,2,0.006815856,2,3.4905,1,1
2011,22,551,19.43,-29.38,0.00400717,2,0.269816124,2,2.342,1,1
2011,22,897,19.43,-29.38,0.013050522,2,0.009321802,2,1.3002,1,1
2011,22,1498,19.43,-29.38,,6,,2,,1,1
2011,22,2098,19.43,-29.38,0.005739803,2,0.054528131,2,0.8623,4,1
2011,22,2998,19.43,-29.38,,2,,2,,1,1
2011,22,3600,19.43,-29.38,0.002503004,2,0.005006007,2,0.8453,4,1
2011,22,4200,19.43,-29.38,,2,,2,,1,1
2011,22,4600,19.43,-29.38,0.004761043,2,0.009522086,2,0.92,4,1
2011,22,4802,19.43,-29.38,,2,,2,,1,1
2011,22,4989,19.43,-29.38,0.00670117,2,,2,0.9157,1,1
2011,24,38,17.4,-24.5,0.002004016,2,0.000668005,2,18.5296,1,4
2011,24,73,17.4,-24.5,0.002556362,2,0.002556362,2,12.1613,1,1
2011,24,90,17.4,-24.5,0.002601387,2,0.003902081,2,7.765,1,1
