Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,2,662,36.76,-12.83,,,,,668,11.1097,35.712,179,4.6629,0.003,8.1,16.32,0,1.03
2010,2,821,36.76,-12.83,,,,,829,11.9245,36.1428,183.7,4.6593,0.003,8.19,14.96,0,0.95
2010,2,821,36.76,-12.83,,,,,829,11.9245,36.1428,183.7,4.6593,0.003,8.09,14.88,0,0.95
2010,2,902,36.76,-12.83,,,,,911,10.8006,35.9654,177,4.6654,0.003,9.65,16.47,0,1.05
2010,2,902,36.76,-12.83,,,,,911,10.8006,35.9654,177,4.6654,0.003,9.75,16.41,0,1.04
2010,2,1051,36.76,-12.83,,,,,1061,10.5374,36.0612,180.3,4.6656,0.004,10.24,16.16,0,1.02
2010,2,1051,36.76,-12.83,,,,,1061,10.5374,36.0612,180.3,4.6656,0.004,10.14,16.11,0,1.02
2010,2,1201,36.76,-12.83,,,,,1213,10.4072,36.1429,185.4,4.6654,0.003,10.24,15.56,0,0.98
2010,2,1201,36.76,-12.83,,,,,1213,10.4072,36.1429,185.4,4.6654,0.003,10.24,15.5,0,0.98
2010,3,35,35.2,-16,0.57,0.07,36,,35,22.16445,36.6359,219.8,4.61235,0.038,0.49,0,0,0
2010,3,35,35.2,-16,0.57,0.07,36,,35,22.16445,36.6359,219.8,4.61235,0.038,0.58,0,0,0
2010,3,51,35.2,-16,,0.08,53,,51,19.6364,36.3828,258.75,4.6094,0.061,0.29,0,0,0
2010,3,51,35.2,-16,,0.08,53,,51,19.6364,36.3828,258.75,4.6094,0.061,0.29,0,0,0.01
2010,3,77,35.2,-16,0.5,0.06,84,,77,17.1104,36.30715,210.4,4.61245,0.162,0.68,0.07,0.02,0.01
2010,3,77,35.2,-16,0.5,0.06,84,,77,17.1104,36.30715,210.4,4.61245,0.162,0.68,0.11,0.02,0.02
2010,3,100,35.2,-16,0.2,0.16,,,101,16.4864,36.26435,205.35,4.63395,0.078,1.36,4.01,0.04,0.23
2010,3,100,35.2,-16,0.2,0.16,,,101,16.4864,36.26435,205.35,4.63395,0.078,1.36,4.01,0.04,0.23
2010,3,136,35.2,-16,0.43,0.17,93,,137,15.88275,36.1809,205.5,4.6438,0.019,1.66,4.89,0.01,0.3
2010,3,136,35.2,-16,0.43,0.17,93,,137,15.88275,36.1809,205.5,4.6438,0.019,1.66,4.92,0.01,0.3
2010,3,191,35.2,-16,0.55,0.18,69,,192,14.9229,36.05235,204.4,4.65075,0.0055,2.24,6.43,0.01,0.39
2010,3,191,35.2,-16,0.55,0.18,69,,192,14.9229,36.05235,204.4,4.65075,0.0055,2.15,6.42,0,0.4
2010,3,301,35.2,-16,0.29,0.23,69,,303,13.4473,35.83265,203.65,4.6558,0.0015,3.61,9.85,0,0.61
