Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2010,7,398,24,-22,0.46,0.28,,,401,13.67705,35.8521,146.9,4.6524,0.0045,5.95,15.93,0.01,0.97,,2,,4,3.069387,1,1
2010,7,451,24,-22,0.69,0.38,55,,454.5,12.46145,35.62315,99.55,4.64895,0.0055,8.97,22.35,0.01,1.35,,2,,2,,1,1
2010,7,451,24,-22,0.69,0.38,55,,454.5,12.46145,35.62315,99.55,4.64895,0.0055,8.88,22,0.01,1.34,,2,,2,,1,1
2010,7,501,24,-22,0.65,0.36,60,,505,12.04935,35.6108,127.75,4.6549,0.0045,8.78,20.51,0.01,1.25,0.002520786,2,0.052096244,2,2.70865,1,1
2010,7,501,24,-22,0.65,0.36,60,,505,12.04935,35.6108,127.75,4.6549,0.0045,8.78,20.51,0.01,1.26,0.002520786,2,0.052096244,2,2.70865,1,1
2010,7,751,24,-22,0.8,0.44,52,,758,8.71755,35.18775,105.6,4.6628,0.005,17.56,29.18,0,1.87,0.00252294,2,0.238417814,2,1.583694,1,1
2010,7,751,24,-22,0.8,0.44,52,,758,8.71755,35.18775,105.6,4.6628,0.005,17.47,29.11,0,1.87,0.00252294,2,0.238417814,2,1.583694,1,1
2010,7,1001,24,-22,0.6,0.39,42,,1010.5,7.2479,35.153,142.9,4.6696,0.005,19.51,26.45,0,1.76,0.002928408,2,0.111279495,2,1.241653,1,1
2010,7,1001,24,-22,0.6,0.39,42,,1010.5,7.2479,35.153,142.9,4.6696,0.005,19.71,26.38,0,1.78,0.002928408,2,0.111279495,2,1.241653,1,1
2010,7,1201,24,-22,0.51,0.34,,,1213,6.77545,35.24005,168.6,4.6717,0.004,19.03,23.59,0.01,1.57,,2,,2,,1,1
2010,7,1201,24,-22,0.51,0.34,,,1213,6.77545,35.24005,168.6,4.6717,0.004,18.83,23.62,0,1.56,,2,,2,,1,1
2010,7,1499,24,-22,0.6,0.32,39,,1515,5.4962,35.1771,198.6,4.6753,0.004,20.88,21.87,0,1.52,0.002034178,2,0.065093704,2,1.188105,1,4
2010,7,1499,24,-22,0.6,0.32,39,,1515,5.4962,35.1771,198.6,4.6753,0.004,20.29,21.98,0,1.5,0.002034178,2,0.065093704,2,1.188105,1,4
2010,7,2499,24,-22,0.72,0.26,24,,2532.5,3.25075,34.98255,233.65,4.6789,0.0045,31.52,20.85,0,1.45,,2,,2,,1,1
2010,7,2499,24,-22,0.72,0.26,24,,2532.5,3.25075,34.98255,233.65,4.6789,0.0045,31.62,20.91,0,1.45,,2,,2,,1,1
2010,7,3498,24,-22,0.89,0.35,,,3553,2.5028,34.9101,240.3,4.6812,0.004,43.04,21.62,0,1.5,0.003014164,2,0.087410743,2,0.5543,1,4
2010,7,3498,24,-22,0.89,0.35,,,3553,2.5028,34.9101,240.3,4.6812,0.004,42.84,21.63,0.01,1.5,0.003014164,2,0.087410743,2,0.5543,1,4
2010,7,4157,24,-22,0.81,0.34,19,59,4229,2.3647,34.8894,244.2,4.6813,0.004,46.26,21.69,0.01,1.51,0.003653368,2,,4,0.519945,1,1
2010,7,4157,24,-22,0.81,0.34,19,59,4229,2.3647,34.8894,244.2,4.6813,0.004,46.45,21.77,0,1.52,0.003653368,2,,4,0.519945,1,1
2010,7,4496,24,-22,,0.33,20,112,4578,2.3853,34.8866,244,4.6792,0.004,46.94,21.77,0,1.51,0.00287221,2,0.126377225,2,0.571304,1,1
2010,7,4496,24,-22,,0.33,20,112,4578,2.3853,34.8866,244,4.6792,0.004,47.43,21.75,0,1.5,0.00287221,2,0.126377225,2,0.571304,1,1
