STNNBR,LATITUDE,LONGITUDE,GEOTRC_SAMPNO,CTDPRS,CTDDEPTH,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
4,65.8023,-168.6021,-999,14.4,14,5.9529,32.2568,2,-999,9,298,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,15.1,15,5.9511,32.2611,2,-999,9,298.2,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,15.1,15,5.9511,32.2611,2,-999,9,298.2,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,15.7,16,5.9458,32.2906,2,-999,9,298.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,15.7,16,5.9458,32.2906,2,-999,9,298.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,10611,17.1,17,5.7211,32.3956,2,-999,9,299.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,10610,17.1,17,5.7211,32.3956,2,-999,9,299.1,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,28.1,28,5.512,32.4276,2,-999,9,302.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,28.1,28,5.512,32.4276,2,-999,9,302.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,32.8,33,5.4569,32.4392,2,-999,9,301.8,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,32.8,33,5.4569,32.4392,2,-999,9,301.8,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,33.1,33,5.4574,32.4389,2,-999,9,301.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,-999,33.1,33,5.4574,32.4389,2,-999,9,301.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,10609,34.1,34,5.4585,32.4385,2,-999,9,301.7,1,-999,9,-999,9,-999,9,-999,9
4,65.8023,-168.6021,10608,34.1,34,5.4585,32.4385,2,-999,9,301.7,1,-999,9,-999,9,-999,9,-999,9
