Start_Latitude,Start_Longitude,Station_ID,Sample_Depth,POC_umolC_kg
89.98881667,37.84281667,32,101,0.25032441
89.98881667,37.84281667,32,151,0.195531577
89.98881667,37.84281667,32,277,0.12362244
89.98881667,37.84281667,32,353,0.106719676
89.98881667,37.84281667,32,504,0.088911002
89.98881667,37.84281667,32,756,0.079255367
89.99696667,43.09818333,32,1299,0.059052639
89.99696667,43.09818333,32,1899,0.037701394
89.99696667,43.09818333,32,2348,0.031403126
89.99696667,43.09818333,32,2798,0.020165452
89.99696667,43.09818333,32,3223,0.032377202
89.99696667,43.09818333,32,3647,0.027074121
89.99696667,43.09818333,32,4157,0.060243196
89.99696667,43.09818333,32,4197,0.050482773
87.82566667,-149.501,38,20,0.521392164
87.82566667,-149.501,38,46,0.352764287
87.82566667,-149.501,38,64,0.29232618
87.82566667,-149.501,38,101,0.181849458
87.82566667,-149.501,38,203,0.227048427
87.82566667,-149.501,38,507,0.12955095
87.8155,-147.7413333,38,797,0.111550118
87.8155,-147.7413333,38,996,0.100241467
87.8155,-147.7413333,38,1220,0.062493942
87.8155,-147.7413333,38,1668,0.053699962
87.8155,-147.7413333,38,2141,0.038816193
87.8155,-147.7413333,38,2548,0.029971523
87.8155,-147.7413333,38,2672,0.036455164
85.13478333,-149.9951667,43,20,0.656291491
85.13478333,-149.9951667,43,55,0.329326839
85.13478333,-149.9951667,43,75,0.269310174
85.13478333,-149.9951667,43,100,0.276024916
85.13478333,-149.9951667,43,141,0.218859361
85.13478333,-149.9951667,43,226,0.150722977
85.13478333,-149.9951667,43,331,0.13015117
85.13478333,-149.9951667,43,502,0.11455374
85.16141667,-150.0771,43,600,0.091685954
85.16141667,-150.0771,43,850,0.075458508
85.16141667,-150.0771,43,1000,0.055879315
85.16141667,-150.0771,43,1400,0.028119823
85.16141667,-150.0771,43,1801,0.017453257
85.16141667,-150.0771,43,2041,0.033840997
85.16141667,-150.0771,43,2141,0.069573298
85.16141667,-150.0771,43,2166,0.105701184
82.48351667,-149.8769167,46,50,0.550114715
82.48351667,-149.8769167,46,68,0.284864435
82.48351667,-149.8769167,46,126,0.26125105
82.48351667,-149.8769167,46,203,0.145521039
82.48351667,-149.8769167,46,298,0.115000028
82.54838333,-149.4302333,46,20,0.481562877
82.54838333,-149.4302333,46,447,0.103867404
82.54838333,-149.4302333,46,895,0.05289814
82.54838333,-149.4302333,46,1391,0.032211023
82.54838333,-149.4302333,46,1888,0.016149655
82.54838333,-149.4302333,46,2187,0.020215136
82.54838333,-149.4302333,46,2485,0.080293458
82.54838333,-149.4302333,46,2654,0.017646214
80.38371667,-149.7665667,48,20,0.626792636
80.38371667,-149.7665667,48,49,0.597258214
80.38371667,-149.7665667,48,66,0.389655998
80.38371667,-149.7665667,48,91,0.299580589
80.38371667,-149.7665667,48,122,0.285381543
80.38371667,-149.7665667,48,152,0.243350865
80.38371667,-149.7665667,48,193,0.208510828
80.38371667,-149.7665667,48,269,0.176350468
80.42281667,-149.398,48,268,0.193039604
80.42281667,-149.398,48,343,0.123817887
80.42281667,-149.398,48,419,0.121684048
80.42281667,-149.398,48,505,0.092011534
80.42281667,-149.398,48,717,0.064600044
80.42281667,-149.398,48,1060,0.036754568
80.42281667,-149.398,48,1413,0.032254256
80.42281667,-149.398,48,1767,0.025276796
80.47325,-148.9389333,48,1713,0.019098073
80.47325,-148.9389333,48,2055,0.021023721
80.47325,-148.9389333,48,2398,0.02100105
77.51215,-148.0137333,52,19,0.747234614
77.51215,-148.0137333,52,36,0.908174762
77.51215,-148.0137333,52,60,0.95765974
77.51215,-148.0137333,52,90,0.264704024
77.51215,-148.0137333,52,151,0.247324404
77.51215,-148.0137333,52,246,0.168776354
77.51215,-148.0137333,52,453,0.093068481
77.51215,-148.0137333,52,603,0.067387516
77.4597,-147.93255,52,871,0.056661038
77.4597,-147.93255,52,1452,0.025976354
77.4597,-147.93255,52,1984,0.016987201
77.4597,-147.93255,52,2759,0.013222191
77.4597,-147.93255,52,3194,0.010998103
77.4597,-147.93255,52,3622,0.009638479
75.05836667,-150.32585,56,56,0.559171587
75.05836667,-150.32585,56,86,0.377149333
75.05836667,-150.32585,56,136,0.178777569
75.05836667,-150.32585,56,207,0.17406824
75.05836667,-150.32585,56,238,0.219274328
75.05836667,-150.32585,56,288,0.121624636
75.05836667,-150.32585,56,390,0.097357019
75.05836667,-150.32585,56,593,0.061783292
73.4039,-156.77305,57,18,1.125106803
73.4039,-156.77305,57,61,0.712426848
73.4039,-156.77305,57,97,0.316906689
73.4039,-156.77305,57,171,0.236166934
73.4039,-156.77305,57,217,0.232546702
73.4039,-156.77305,57,281,0.190234396
73.4039,-156.77305,57,408,0.171594769
73.45081667,-156.6911833,57,1285,0.058646857
73.45081667,-156.6911833,57,1977,0.066627658
73.45081667,-156.6911833,57,2369,0.099905291
73.45081667,-156.6911833,57,2864,0.099018872
73.45081667,-156.6911833,57,3272,0.075695989
73.45081667,-156.6911833,57,3420,0.062960814
73.45081667,-156.6911833,57,3469,0.064898559
73,-158.7655833,60,22,3.052986889
73,-158.7655833,60,39,1.030578108
73,-158.7655833,60,98,1.527904785
73,-158.7655833,60,123,0.702390229
73,-158.7655833,60,215,0.344053253
73,-158.7655833,60,300,0.264678347
73,-158.7655833,60,371,0.314698199
73,-158.7655833,60,591,1.349079693
72.80456667,-159.6383,61,19,3.256759028
72.80456667,-159.6383,61,45,1.90086747
72.80456667,-159.6383,61,68,4.580553189
71.99866667,-162.4892167,66,12,5.117554539
71.99866667,-162.4892167,66,31,9.483191852
