Station_ID	Sample_Depth	Start_Latitude	Start_Longitude	Hg0_pM	HgT_pM	DMHg_pM	MMHg_pM	TRANSM	FLUORM	CTDPRS	CTDTMP	CTDSAL	CTDOXY	SILCAT	NITRAT	NITRIT	PHSPHT
14	699	76.5	-172.97	0.04	0.41		0.007	4.4567	0.011	707.2	0.45	34.8632	290.8	5.86	12.18	0	0.84
14	699	76.5	-172.97	0.04	0.41		0.007	4.4567	0.011	707.2	0.45	34.8632	290.8	5.96	12.2	0	0.83
14	699	76.5	-172.97	0.04	0.41		0.007	4.4579	0.01	707.2	0.45	34.8632	290.8	5.86	12.18	0	0.84
14	699	76.5	-172.97	0.04	0.41		0.007	4.4579	0.01	707.2	0.45	34.8632	290.8	5.96	12.2	0	0.83
14	799	76.5	-172.97	0.08	0.72		0.007	4.4583	0.011	808.8	0.2481	34.8656	292.6	5.86	12.11	0	0.83
14	799	76.5	-172.97	0.08	0.72		0.007	4.4583	0.011	808.8	0.2481	34.8656	292.6	5.86	12.12	0	0.84
14	1019	76.5	-172.97	0.06	0.87		0.013	4.4591	0.011	1032	-0.0521	34.8764	294.6	6.25	12.25	0	0.86
14	1019	76.5	-172.97	0.06	0.87		0.013	4.4591	0.011	1032	-0.0521	34.8764	294.6	6.25	12.24	0	0.84
14	1199	76.5	-172.97	0.2	0.42		0.02	4.4593	0.011	1215.2	-0.2074	34.8869	294.6	7.04	12.48	0	0.88
14	1199	76.5	-172.97	0.2	0.42		0.02	4.4593	0.011	1215.2	-0.2074	34.8869	294.6	6.84	12.47	0	0.87
14	1399	76.5	-172.97	0	0.67		0.013	4.4594	0.011	1418.5	-0.3304	34.8991	295	7.62	12.93	0	0.9
14	1399	76.5	-172.97	0	0.67		0.013	4.4594	0.011	1418.5	-0.3304	34.8991	295	7.62	13.1	0	0.89
14	1599	76.5	-172.97	0.06	0.67		0.01	4.4598	0.011	1622.1	-0.4148	34.9151	292.6	9.09	13.61	0	0.94
14	1599	76.5	-172.97	0.06	0.67		0.01	4.4598	0.011	1622.1	-0.4148	34.9151	292.6	9.09	13.62	0	0.94
14	1749	76.5	-172.97	0.16	0.85		0.013	4.4604	0.011	1774.8	-0.431	34.9297	288.9	10.75	14.08	0	0.98
14	1749	76.5	-172.97	0.16	0.85		0.013	4.4604	0.011	1774.8	-0.431	34.9297	288.9	10.55	14.11	0	0.99
14	1999	76.5	-172.97	0.07	0.8		0.009	4.4615	0.011	2029.7	-0.4105	34.9462	285.9	12.21	14.51	0	1.01
14	1999	76.5	-172.97	0.07	0.8		0.009	4.4615	0.011	2029.7	-0.4105	34.9462	285.9	12.21	14.48	0	1.01
14	2089	76.5	-172.97	0.11	0.62		0.02	4.4614	0.011	2121.5	-0.3927	34.9503	284	13	14.67	0	1.03
14	2089	76.5	-172.97	0.11	0.62		0.02	4.4614	0.011	2121.5	-0.3927	34.9503	284	13.09	14.71	0	1.03
14	2209	76.5	-172.97	0.21	0.74		0.022	4.4453	0.011	2244.1	-0.373	34.953	282.4	13.87	14.86	0	1.04
14	2209	76.5	-172.97	0.21	0.74		0.022	4.4453	0.011	2244.1	-0.373	34.953	282.4	13.87	14.87	0	1.03
