Station,depth,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT_FLAG_W,NITRAT
4,395,398.70,0,8.42,1,34.57,1,220.54,1,1.46,1.00,,9,0.01,1,1,17.71
5,5,4.70,0,12.88,1,34.67,1,259.35,1,0.45,1.00,1.22,1,0.11,1,1,4.24
5,6,6.10,0,12.88,1,34.67,1,259.30,1,0.44,1.00,1.23,1,0.11,1,1,4.39
5,20,20.00,0,12.88,1,34.67,1,259.42,1,0.45,1.00,1.19,1,0.11,1,1,4.46
5,20,20.20,0,12.88,1,34.67,1,259.40,1,0.45,1.00,1.22,1,0.11,1,1,4.42
5,30,30.10,0,12.87,1,34.67,1,259.84,1,0.45,1.00,1.22,1,0.11,1,1,4.45
5,30,30.50,0,12.87,1,34.67,1,259.90,1,0.45,1.00,1.24,1,0.11,1,1,4.47
5,40,39.90,0,12.62,1,34.67,1,261.24,1,,9.00,,9,,9,9,0.00
5,41,41.50,0,12.72,1,34.67,1,261.11,1,0.46,1.00,1.29,1,0.12,1,1,4.75
5,49,49.60,0,11.98,1,34.66,1,263.56,1,0.50,1.00,1.33,1,0.14,1,1,5.27
5,50,50.80,0,11.94,1,34.66,1,263.76,1,0.50,1.00,1.32,1,0.15,1,1,5.35
5,60,60.70,0,11.63,1,34.65,1,262.05,1,0.55,1.00,1.37,1,0.18,1,1,5.97
5,61,61.30,0,11.60,1,34.65,1,262.23,1,,9.00,,9,,9,9,0.00
5,79,80.10,0,11.04,1,34.67,1,261.92,1,,9.00,,9,,9,9,0.00
5,80,80.40,0,11.06,1,34.67,1,262.05,1,0.60,1.00,1.58,1,0.26,1,1,6.88
5,99,100.10,0,10.52,1,34.66,1,259.92,1,0.65,1.00,1.75,1,0.45,1,1,7.89
5,100,100.60,0,10.51,1,34.66,1,259.90,1,0.65,1.00,1.72,1,0.46,1,1,8.02
5,124,124.80,0,10.41,1,34.67,1,256.31,1,0.68,1.00,1.97,1,0.37,1,1,9.05
